feature,gain,split
compression_score_rolling_z_24,175.68044900894165,18
wick_pressure_1_delta_6,175.1963701248169,18
rv_10_mean_gap_6,174.81522846221924,15
ret_vol_ratio__ret_5__rv_3,174.59685134887695,20
rv_10_mean_gap_24,174.1873083114624,18
efficiency_3_delta_1,174.04712057113647,23
ret_volume_z_product__ret_15__volume_z_10,173.52558851242065,18
close_z_10_mean_gap_24,173.39312076568604,17
up_ratio_5_mean_gap_6,173.20286083221436,18
efficiency_10_delta_6,171.9896502494812,18
range_pos_10_delta_3,169.9373607635498,16
efficiency_5_delta_3,169.9210605621338,17
rv_3_rolling_z_6,169.75947904586792,16
ret_volume_z_product__ret_10__volume_z_3,169.53543949127197,20
rv_5_delta_6,168.24745082855225,18
abs_ret_mean_20_delta_6,167.9463906288147,16
ret_close_z_product__ret_3__close_z_5,167.32086038589478,19
price_location_product__range_pos_5__close_z_5,166.7915096282959,12
ret_close_z_product__ret_15__close_z_3,166.60612869262695,19
ret_15_mean_gap_24,166.3821997642517,16
range_pos_5_delta_3,165.03206872940063,19
legal_prev_relative_trade_count_5,164.91895961761475,15
ret_close_z_product__ret_10__close_z_10,164.90403866767883,17
efficiency_term_ratio__efficiency_3__efficiency_10,164.68860864639282,18
signed_volume_1_lag3,164.57080030441284,16
relative_volume_3_rolling_z_6,164.52493953704834,21
ret_1_delta_6,164.51609992980957,17
rv_10_delta_6,164.49136114120483,16
rv_5_mean_gap_24,164.39338064193726,12
close_z_3_mean_gap_12,164.17114925384521,10
ret_term_ratio__ret_3__ret_15,164.02678060531616,20
range_pos_10_rolling_z_12,163.278639793396,14
volume_z_5_lag12,163.07752966880798,19
legal_prev_trade_count_z_10,161.9357614517212,17
range_pos_term_ratio__range_pos_3__range_pos_10,161.90097951889038,19
dollar_vol_mean_20_delta_3,161.23699045181274,17
volume_z_term_ratio__volume_z_3__volume_z_10,161.13041877746582,18
prev_bar_taker_buy_volume_lag3,160.7933292388916,16
efficiency_3_rolling_z_6,160.6679401397705,18
efficiency_10_rolling_z_24,160.34051990509033,19
rv_term_ratio__rv_3__rv_10,159.89431190490723,12
context_ret_product__wick_pressure_1__ret_1,159.4792799949646,16
relative_volume_3_delta_3,158.97742795944214,19
close_z_10_delta_3,158.9705204963684,16
abs_ret_mean_5_delta_6,158.754949092865,15
close_z_term_ratio__close_z_5__close_z_10,158.2183198928833,15
range_pos_term_spread__range_pos_5__range_pos_10,157.770649433136,16
rv_30_rolling_z_24,156.6224880218506,15
efficiency_10_delta_1,156.58871030807495,17
context_ret_product__compression_score__ret_3,156.16111993789673,23
range_pos_5_rolling_z_6,155.60964012145996,17
prev_bar_taker_buy_ratio_mean_5,155.42670893669128,17
range_pos_3_rolling_z_24,155.39387941360474,13
bb_width_pct_rank_100,155.16240882873535,16
ret_5_delta_1,155.0914397239685,17
rv_3_delta_6,154.81508088111877,19
volume_z_3_delta_3,154.67402839660645,18
close_z_5_delta_6,154.53171014785767,17
rv_5_rolling_z_24,154.20941257476807,10
true_range_pct_1,153.51167011260986,12
ret_close_z_product__ret_3__close_z_10,153.04141855239868,17
range_pos_3_mean_gap_6,152.9630904197693,13
ret_10_rolling_z_12,152.79379844665527,15
clv_1_delta_1,152.6789197921753,15
clv_1_delta_6,152.67877864837646,16
rv_5_mean_gap_12,152.663170337677,11
rv_term_spread__rv_3__rv_5,152.5928406715393,14
context_relative_volume_product__clv_1__relative_volume_10,152.57733011245728,12
low_volume_flag_share_20_mean_gap_12,151.75092029571533,18
close_z_3_rolling_z_12,151.69050931930542,13
rv_5_delta_3,150.83951139450073,15
rv_10_mean_gap_12,150.7223596572876,12
ret_range_pos_product__ret_5__range_pos_3,149.89788055419922,11
dollar_vol_mean_5_delta_6,149.89223957061768,17
context_ret_product__clv_1__ret_3,149.48127937316895,16
ret_15_rolling_z_12,149.20831871032715,18
ret_term_ratio__ret_1__ret_3,148.7428297996521,15
legal_prev_taker_buy_base_volume_z_10,148.6981077194214,12
volume_z_10_delta_6,148.2786693572998,18
ret_close_z_product__ret_1__close_z_5,148.00198030471802,17
minute_cos,147.87853074073792,16
efficiency_term_ratio__efficiency_3__efficiency_5,147.8318600654602,14
ret_volume_z_product__ret_15__volume_z_5,147.81156015396118,16
ret_15_mean_gap_12,147.794331073761,15
ret_vol_ratio__ret_3__rv_10,147.19003200531006,9
ret_term_ratio__ret_1__ret_10,147.13357162475586,15
prev_bar_avg_quote_per_trade,146.95033025741577,16
volume_z_20_lag12,146.9255290031433,16
close_location_1_lag2,146.60492849349976,16
compression_score_lag1,146.3859899044037,16
volume_state_product__volume_z_5__relative_volume_5,146.22152948379517,16
relative_volume_term_ratio__relative_volume_10__relative_volume_20,145.45608043670654,14
up_ratio_5_rolling_z_12,144.53804969787598,16
volume_z_10_delta_3,144.49598026275635,15
rv_30_mean_gap_6,143.93196868896484,14
legal_prev_trade_count_sum_3,143.88078784942627,10
ret_volume_z_product__ret_5__volume_z_5,143.781409740448,14
ret_3_lag3,143.0248885154724,15
close_z_5_rolling_z_6,141.7433295249939,15
body_imbalance_3,141.6069507598877,16
clv_1_rolling_z_24,141.52803945541382,17
volume_z_5_lag1,141.0718288421631,16
efficiency_5_rolling_z_12,140.8393497467041,14
rv_3_delta_1,140.74317979812622,16
relative_volume_3_delta_6,140.7157711982727,17
ret_volume_z_product__ret_1__volume_z_5,140.52293062210083,17
low_volume_flag_share_5_rolling_z_6,140.4185094833374,14
prev_bar_taker_buy_volume,140.31237125396729,13
prev_bar_taker_imbalance,139.77813959121704,15
volume_z_term_spread__volume_z_10__volume_z_20,139.6892604827881,17
max_down_ret_5_delta_6,139.21049976348877,15
legal_prev_relative_trade_count_20,139.1445508003235,17
prev_bar_taker_sell_ratio,138.94656085968018,15
ret_3_rolling_z_12,138.91528987884521,8
legal_prev_trade_count_z_5,138.69014811515808,15
range_pos_3_delta_1,138.2304401397705,15
rv_5_lag3,138.1255292892456,14
range_pos_5_delta_1,137.94530963897705,16
breakout_up_dist_20,137.74505949020386,17
ret_volume_z_product__ret_1__volume_z_3,136.69316816329956,16
volume_z_5_rolling_z_24,136.53382062911987,17
volume_z_20_lag1,135.4004172384739,18
relative_volume_20_lag3,135.3343105316162,17
rv_term_ratio__rv_5__rv_10,135.24419021606445,16
lower_wick_ratio_1,135.02968883514404,15
rv_5_lag1,134.8931794166565,15
relative_volume_20_mean_gap_24,134.08736038208008,13
volume_below_rolling_p20_share_20_mean_gap_6,133.94191932678223,14
ret_volume_z_product__ret_15__volume_z_3,133.90390014648438,14
ret_15_rolling_z_6,133.54212188720703,16
ret_5_lag2,133.37174034118652,14
volume_z_5_delta_1,132.89084911346436,16
legal_prev_taker_buy_base_volume_z_20,132.8685703277588,16
wick_pressure_1,132.8483805656433,12
rv_30_rolling_z_12,132.67401027679443,14
prev_bar_taker_buy_volume_lag6,132.13623046875,14
signed_dollar_volume_3,131.98375844955444,13
relative_volume_20_rolling_z_24,131.92700052261353,13
wick_pressure_1_mean_gap_6,131.68122005462646,16
body_pct_1_lag12,131.6789312362671,14
context_relative_volume_product__compression_score__relative_volume_20,130.55414152145386,15
wick_pressure_1_delta_3,130.02987098693848,13
max_up_ret_5,129.89156913757324,14
htf_regime_trend_strength_15m,129.85302829742432,14
prev_bar_taker_buy_quote_volume,129.47872114181519,10
context_relative_volume_product__up_ratio_5__relative_volume_20,129.41359996795654,15
volume_below_rolling_p20_share_20_rolling_z_6,129.22063064575195,13
ret_10_lag1,129.1840696334839,15
ret_range_pos_product__ret_5__range_pos_10,128.47561073303223,14
range_pos_5_rolling_z_12,128.3873610496521,15
ret_volume_z_product__ret_3__volume_z_5,127.62989091873169,13
ret_10_mean_gap_12,127.61379814147949,15
ret_10_rolling_z_6,127.28730916976929,12
volume_z_20_mean_gap_12,127.05392980575562,14
htf_regime_trend_strength_15m_delta_3,126.81886053085327,14
ret_5_rolling_z_6,126.71957015991211,15
efficiency_10_mean_gap_12,126.44458055496216,14
wick_pressure_1_rolling_z_6,126.38160133361816,15
compression_score,126.29368925094604,13
up_ratio_5_mean_gap_12,125.58661079406738,12
prev_bar_taker_buy_volume_lag1,125.56189155578613,12
ret_vol_product__ret_1__rv_3,125.40443897247314,6
rv_30_delta_1,125.15032005310059,15
context_ret_product__compression_score__ret_15,125.05225086212158,13
vwap_dist_10,124.87337064743042,10
upper_wick_ratio_1,124.74124002456665,12
relative_volume_20_lag6,124.53466892242432,13
efficiency_3_mean_gap_24,124.08925104141235,14
relative_volume_term_spread__relative_volume_3__relative_volume_5,123.95794105529785,12
context_relative_volume_product__max_up_ret_5__relative_volume_10,123.60649871826172,14
volume_z_term_ratio__volume_z_3__volume_z_20,123.39732074737549,17
efficiency_3_delta_6,123.3944001197815,12
clv_1_lag2,122.3858003616333,11
close_z_3_mean_gap_6,121.9403600692749,11
rv_30_mean_gap_12,121.91988945007324,11
efficiency_10,121.28968048095703,12
stale_trade_share_20_rolling_z_24,121.28033924102783,13
context_relative_volume_product__up_ratio_5__relative_volume_3,121.14497900009155,11
ret_close_z_product__ret_5__close_z_3,120.95682907104492,12
relative_volume_3_mean_gap_24,120.82503890991211,15
htf_close_z_15m_lag1,120.64473056793213,12
ret_close_z_product__ret_10__close_z_5,120.00772047042847,12
context_relative_volume_product__down_ratio_5__relative_volume_3,119.63098955154419,13
close_z_10_delta_1,119.62468147277832,10
rv_5_mean_gap_6,118.49997282028198,9
context_relative_volume_product__down_ratio_5__relative_volume_10,118.34626960754395,12
efficiency_term_spread__efficiency_5__efficiency_10,118.32829904556274,13
prev_bar_avg_trade_size,118.10579109191895,14
body_x_volume_3,117.96349096298218,12
relative_volume_20_lag1,117.8480896949768,13
relative_volume_5_lag6,117.5810604095459,13
relative_volume_20_delta_3,117.16407823562622,11
volume_z_term_spread__volume_z_5__volume_z_10,116.57503938674927,12
compression_score_rolling_z_12,116.49829149246216,12
rv_term_ratio__rv_3__rv_5,116.16038036346436,12
close_z_10,115.66133165359497,10
prev_bar_log_trade_count_lag3,115.49153661727905,6
ret_5_delta_6,115.4861912727356,11
price_location_product__range_pos_10__close_z_10,115.29597854614258,13
vwap_dist_term_spread__vwap_dist_3__vwap_dist_5,115.08217096328735,13
relative_volume_term_ratio__relative_volume_3__relative_volume_20,114.81499004364014,12
signed_dollar_volume_1,114.64525032043457,11
ret_3_mean_gap_6,114.63049125671387,12
volume_z_term_spread__volume_z_5__volume_z_20,113.43478012084961,11
relative_volume_20_rolling_z_6,112.44359064102173,15
range_pos_5_mean_gap_12,112.2962703704834,12
prev_bar_log_volume,111.95800018310547,7
up_ratio_5_mean_gap_24,111.82325029373169,12
context_relative_volume_product__max_up_ret_5__relative_volume_5,111.76076936721802,14
efficiency_3_rolling_z_24,111.73634958267212,13
ret_1_lag3,111.43335008621216,11
ret_range_pos_product__ret_15__range_pos_10,111.32467937469482,12
volume_share_term_spread__volume_share_5__volume_share_10,111.141610622406,14
range_pos_10_mean_gap_24,110.95216035842896,12
context_relative_volume_product__compression_score__relative_volume_3,110.8753890991211,10
volume_z_3_delta_6,110.32474112510681,13
close_z_10_mean_gap_6,109.8011794090271,11
prev_bar_taker_buy_volume_lag12,109.77116966247559,11
range_pos_10_delta_1,109.69232940673828,9
breakout_down_dist_20,109.46204090118408,11
range_pos_5_mean_gap_24,109.45508909225464,9
close_z_10_rolling_z_24,108.9992413520813,9
htf_ret_15m_1_lag6,108.89016199111938,10
ret_term_ratio__ret_1__ret_5,108.88206005096436,13
efficiency_10_mean_gap_24,108.86449909210205,9
ret_close_z_product__ret_5__close_z_5,108.69046020507812,13
vwap_dist_term_spread__vwap_dist_5__vwap_dist_10,108.45998907089233,15
low_volume_flag_share_20_rolling_z_12,108.2797303199768,12
ret_close_z_product__ret_10__close_z_3,107.664719581604,10
volume_state_product__volume_z_5__relative_volume_20,107.58981990814209,8
volume_below_rolling_p20_share_5_rolling_z_12,107.16489934921265,11
close_z_5_mean_gap_24,106.75440216064453,10
efficiency_term_ratio__efficiency_5__efficiency_10,106.7472915649414,11
volume_z_20_rolling_z_12,106.62246990203857,12
volume_z_3_mean_gap_12,106.61391115188599,12
rv_3_delta_3,106.35076904296875,11
ret_10_rolling_z_24,106.02745008468628,10
htf_efficiency_15m_delta_6,105.90612936019897,10
wick_rejection_count,105.72280025482178,7
low_volume_flag_share_20_rolling_z_24,105.71605968475342,12
range_pos_10_rolling_z_6,105.65729856491089,10
low_volume_flag_share_20_mean_gap_6,105.61564016342163,12
volume_z_20_lag6,105.55513906478882,13
efficiency_10_rolling_z_12,105.39511919021606,11
range_pos_term_ratio__range_pos_5__range_pos_10,105.23147869110107,12
prev_bar_trade_count_lag6,104.62501811981201,9
body_imbalance_5,104.21173810958862,11
consecutive_up,103.8969955444336,2
price_location_product__range_pos_3__close_z_3,103.7527379989624,6
volume_z_5_rolling_z_6,103.52308940887451,11
ret_3_accel,103.48590993881226,12
low_volume_flag_share_20_lag12,103.44920063018799,11
ret_1_delta_3,103.35499095916748,11
ret_15_mean_gap_6,102.98310995101929,11
volume_state_product__volume_z_10__relative_volume_3,102.93519878387451,10
efficiency_3_mean_gap_12,102.73929977416992,15
ret_volume_z_product__ret_3__volume_z_3,102.29040002822876,11
ret_volume_z_product__ret_5__volume_z_10,101.96385955810547,10
legal_prev_taker_buy_base_volume_sum_5,101.92709016799927,12
ret_volume_z_product__ret_1__volume_z_20,101.71602058410645,11
ret_term_spread__ret_1__ret_15,101.26932048797607,9
ret_volume_z_product__ret_10__volume_z_20,100.87859201431274,11
ret_term_ratio__ret_5__ret_10,100.83399057388306,12
range_pos_3_delta_3,100.81651902198792,13
volume_z_3_delta_1,100.63209962844849,12
compression_score_mean_gap_24,100.36506867408752,11
ret_3_delta_6,100.28839063644409,9
legal_prev_relative_taker_buy_base_volume_10,100.11690998077393,8
volume_state_product__volume_z_3__relative_volume_20,100.01498079299927,10
range_pos_10,99.96894836425781,7
range_pos_10_mean_gap_6,99.7122597694397,10
range_pos_10_mean_gap_12,99.46179962158203,10
minute_sin,99.28909015655518,11
rv_10_lag2,99.26296854019165,8
volume_below_rolling_p20_share_5_rolling_z_6,98.37957048416138,10
context_relative_volume_product__max_up_ret_5__relative_volume_20,98.08471918106079,11
relative_volume_5_delta_3,97.59138917922974,10
weekday_sin,97.33533096313477,10
volume_z_5_delta_3,96.98430919647217,11
clv_1_rolling_z_6,96.77236127853394,11
wick_imbalance_3,96.63983058929443,11
ret_volume_z_product__ret_5__volume_z_3,96.60116958618164,10
dollar_vol_mean_5_delta_3,96.5724196434021,11
price_location_product__range_pos_10__close_z_5,96.52061939239502,9
ret_1_mean_gap_6,96.24260997772217,9
relative_volume_10_delta_6,95.83160066604614,10
efficiency_5_rolling_z_6,95.78692817687988,11
stale_trade_share_20_mean_gap_24,95.72625970840454,9
body_pct_1_lag6,95.46851921081543,9
ret_1_rolling_z_6,95.2206392288208,7
legal_prev_trade_count_z_20,94.91552066802979,10
clv_1_lag12,94.7843108177185,9
context_ret_product__down_ratio_5__ret_1,94.75826978683472,9
stale_trade_share_20_rolling_z_12,94.28121948242188,12
ret_15_delta_6,94.05959892272949,9
range_3,93.90093946456909,9
ret_vol_ratio__ret_1__rv_5,93.75591087341309,7
ret_1_lag6,93.28823041915894,10
efficiency_5_mean_gap_24,93.2633204460144,10
ret_5_rolling_z_24,93.06415176391602,8
relative_volume_20_delta_6,93.00787925720215,9
close_z_5,92.8761305809021,11
taker_imbalance_zscore_20,92.79450035095215,7
htf_ret_15m_1_delta_1,92.58547973632812,9
volume_z_term_spread__volume_z_3__volume_z_5,92.56940937042236,11
context_ret_product__compression_score__ret_1,92.31203174591064,8
low_volume_flag_share_5_rolling_z_12,91.62697982788086,13
htf_efficiency_15m,91.62167930603027,10
wick_pressure_1_mean_gap_12,91.46881103515625,10
rv_5_lag2,91.31757068634033,9
clv_x_dollar_volume_1,89.83222961425781,10
regime_trend_strength,89.77497005462646,9
close_location_1_lag3,89.42158937454224,8
ret_term_spread__ret_5__ret_15,88.96989107131958,9
ret_close_z_product__ret_5__close_z_10,88.96662950515747,9
efficiency_5,88.75892972946167,9
range_pos_10_delta_6,88.51389932632446,9
rv_5_rolling_z_6,88.24180054664612,8
volume_state_product__volume_z_10__relative_volume_10,87.97834968566895,8
volume_z_10_mean_gap_6,87.85594892501831,8
wick_pressure_1_mean_gap_24,87.85458946228027,9
efficiency_3_rolling_z_12,87.61169958114624,9
legal_prev_relative_trade_count_10,87.30572128295898,9
rv_30_delta_6,87.25416040420532,9
volume_state_product__volume_z_5__relative_volume_10,87.12526035308838,9
volume_z_10_mean_gap_24,86.72290992736816,10
ret_volume_z_product__ret_15__volume_z_20,86.70845937728882,9
volume_z_5,86.56368017196655,10
htf_regime_trend_strength_15m_delta_6,86.5162091255188,9
ret_3_lag1,86.16743993759155,11
ret_range_pos_product__ret_5__range_pos_5,85.8109302520752,8
low_volume_flag_share_20_mean_gap_24,85.69464981555939,11
range_pos_term_ratio__range_pos_3__range_pos_5,85.66316890716553,10
context_ret_product__max_down_ret_5__ret_5,85.54945850372314,9
rv_term_spread__rv_3__rv_10,85.53661870956421,9
