abstain_low_conf_count,abstain_low_conf_share,active_count,active_share,alpha,bucket_miss_threshold,clamp_over_pside_count,clamp_over_pside_share,coverage_feasible,coverage_overall,covered_count,covered_feasible_count,covered_gap_norm_mean,covered_gap_norm_median,covered_gap_norm_q25,covered_gap_norm_q75,delta,delta_quantile,feasible_count,feasible_covered_gap_norm_mean,infeasible_count,max_possible_coverage,mean_p_pred,mean_p_side,sample_count,side_violation_count,side_violation_rate
2655.0,0.3223652258377853,4719.0,0.5729723166585721,2.0,0.3,862.0,0.10466245750364254,0.8608695652173913,0.6370811073336571,5247.0,5247.0,0.7690663279059812,1.0,0.5402122093319355,1.0,0.017972780391573906,0.7,6095.0,0.7690663287306304,2141.0,0.7400437105390967,0.4946390422925738,0.5651863688744982,8236.0,0.0,0.0
0.0,0.0,7367.0,0.894487615347256,2.0,0.5,869.0,0.10551238465274405,0.7237079573420837,0.5355755220981059,4411.0,4411.0,0.5191684730332209,0.5155174951513664,0.29925567398670744,0.7287815429535269,0.017972780391573906,0.7,6095.0,0.5191684746328251,2141.0,0.7400437105390967,0.43713147576491534,0.5651863688744982,8236.0,0.0,0.0
0.0,0.0,7367.0,0.894487615347256,2.0,1.0,869.0,0.10551238465274405,0.7237079573420837,0.5355755220981059,4411.0,4411.0,0.5191684730332209,0.5155174951513664,0.29925567398670744,0.7287815429535269,0.017972780391573906,0.7,6095.0,0.5191684746328251,2141.0,0.7400437105390967,0.43713147576491534,0.5651863688744982,8236.0,0.0,0.0
8236.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,0.05609768629074097,0.8,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,8236.0,0.0,0.0
8236.0,1.0,0.0,0.0,2.0,0.025,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,0.05609768629074097,0.8,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,8236.0,0.0,0.0
8236.0,1.0,0.0,0.0,2.0,0.05,0.0,0.0,1.0,0.7400437105390967,6095.0,6095.0,1.0,1.0,1.0,1.0,0.05609768629074097,0.8,6095.0,1.0,2141.0,0.7400437105390967,0.5651863688744982,0.5651863688744982,8236.0,0.0,0.0
8114.0,0.9851869839728024,99.0,0.012020398251578437,2.0,0.075,23.0,0.0027926177756192327,0.9990155865463495,0.7393152015541525,6089.0,6089.0,0.9955757341483455,1.0,1.0,1.0,0.05609768629074097,0.8,6095.0,0.9955757341731953,2141.0,0.7400437105390967,0.5639949738736025,0.5651863688744982,8236.0,0.0,0.0
8114.0,0.9851869839728024,99.0,0.012020398251578437,2.0,0.1,23.0,0.0027926177756192327,0.9990155865463495,0.7393152015541525,6089.0,6089.0,0.9955757341483455,1.0,1.0,1.0,0.05609768629074097,0.8,6095.0,0.9955757341731953,2141.0,0.7400437105390967,0.5639949738736025,0.5651863688744982,8236.0,0.0,0.0
4550.0,0.5524526469159786,2438.0,0.29601748421563867,2.0,0.15,1248.0,0.1515298688683827,0.953732567678425,0.7058037882467217,5813.0,5813.0,0.9033909018344397,1.0,1.0,1.0,0.05609768629074097,0.8,6095.0,0.9033909022884451,2141.0,0.7400437105390967,0.5395991882593303,0.5651863688744982,8236.0,0.0,0.0
2367.0,0.28739679456046624,4337.0,0.5265905779504614,2.0,0.2,1532.0,0.18601262748907235,0.9043478260869565,0.6692569208353569,5512.0,5512.0,0.7906150476048814,1.0,0.5968612509850401,1.0,0.05609768629074097,0.8,6095.0,0.7906150485301915,2141.0,0.7400437105390967,0.5098722792999039,0.5651863688744982,8236.0,0.0,0.0
