base_col,margin,cap_slack,sample_count,coverage,mean_gap,median_gap,gap_p05,gap_p95,gap_p95_p05_range,p95_violation,p99_violation,max_violation
pred_q80,-0.06,0.05,5184.0,0.5185185185185185,0.04930276839362033,0.017648219554911693,-0.1677582364950202,0.3503321073235708,0.518090343818591,0.1777582364950201,0.25277932383033025,0.41402914121050394
pred_q70,-0.02,0.02,5184.0,0.5229552469135802,0.04930544932164497,0.01957751903643598,-0.1767910786380999,0.3482669570152534,0.5250580356533533,0.1867910786380996,0.2619998976965904,0.4288048291811446
pred_q70,-0.04,0.1,5184.0,0.5179398148148148,0.04962569878925878,0.016279295024365856,-0.16279076925234856,0.3494746584665164,0.512265427718865,0.17279076925234851,0.24455787025136677,0.40599292470492226
pred_q80,-0.04,0.0,5184.0,0.5287422839506173,0.05138215059421603,0.023777207114737547,-0.1878755797127634,0.3529991275518491,0.5408747072646125,0.19787557971276337,0.27575891433041566,0.4488048291811446
pred_q70,-0.02,0.03,5184.0,0.527391975308642,0.05185730994084489,0.021748862759073867,-0.1716373384887368,0.35117237496419695,0.5228097134529337,0.18163733848873648,0.2536484831250834,0.4188048291811446
pred_q80,-0.04,0.01,5184.0,0.5343364197530864,0.054106298904348406,0.0249312600318064,-0.17922872978718912,0.35428757702321306,0.5335163068104022,0.18922872978718894,0.26896168017057204,0.4388048291811446
pred_q90,-0.08,0.0,5184.0,0.5414737654320988,0.055017423785615686,0.02813046456643775,-0.18448445434588656,0.36013953770302737,0.544623992048914,0.1944844543458862,0.273259481496837,0.4488048291811446
pred_q80,-0.06,0.08,5184.0,0.5320216049382716,0.05557112687074726,0.02315759252578775,-0.1570894747655346,0.35829789229957426,0.5153873670651088,0.16708947476553448,0.24454957125082788,0.41402914121050394
pred_q80,-0.04,0.02,5184.0,0.5399305555555556,0.0567563547673824,0.027281874819794133,-0.1715190624494557,0.35580764500207307,0.5273267074515288,0.1815190624494557,0.2612297352967888,0.4288048291811446
pred_q70,-0.02,0.05,5184.0,0.5370370370370371,0.05683833577487629,0.024386965136045435,-0.163765429466015,0.35603770310258254,0.5198031325685976,0.17376542946601484,0.24811117612735714,0.3988048291811446
pred_q90,-0.08,0.01,5184.0,0.546875,0.05790735855041517,0.032483535443392206,-0.17787557971276338,0.36221137430979605,0.5400869540225595,0.18787557971276336,0.26417166851557167,0.4388048291811446
pred_q70,0.0,0.0,5184.0,0.5516975308641975,0.058506467810399566,0.031179479848929742,-0.18589925494841028,0.3588803633429502,0.5447796182913605,0.19589925494841026,0.273539084439354,0.4488048291811446
pred_q80,-0.06,0.1,5184.0,0.5401234567901234,0.0585350645791532,0.025859033306838475,-0.15305906400943833,0.36058356518576967,0.513642629195208,0.16305906400943826,0.23555070130429226,0.41402914121050394
pred_q80,-0.04,0.03,5184.0,0.544945987654321,0.05934807575812958,0.02958159580560618,-0.16474603986923583,0.3598257789658978,0.5245718188351336,0.1747460398692358,0.25199989769659037,0.4188048291811446
pred_q90,-0.08,0.02,5184.0,0.5524691358024691,0.060719563859135975,0.03421726433754663,-0.1711177423786331,0.36304724990629245,0.5341649922849255,0.18111774237863293,0.25820246959446186,0.4288048291811446
pred_q70,0.0,0.01,5184.0,0.5574845679012346,0.0613595670626572,0.03371779844263739,-0.17791565038134485,0.3608441446704891,0.5387597950518339,0.18791565038134486,0.2646492483250932,0.4388048291811446
pred_q90,-0.08,0.03,5184.0,0.5576774691358025,0.06346057403376781,0.037313282898332883,-0.16467443491454584,0.36470886248368833,0.5293832973982342,0.17467443491454557,0.24995807897454225,0.4188048291811446
