t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,utility,downside_risk,selection_score,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
0.495,0.48,7468.0,0.9795125870380289,0.6525212181727409,0.6482320942883046,0.6503766562305228,0.6491697911087306,0.650580997949419,0.29499196572040715,0.5850301792718141,0.5042337577996114,0.5476418318523582,0.45235816814764185,0.495,0.48,7315.0,4006.0,3309.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.495,0.485,7468.0,0.9856722013926085,0.6525212181727409,0.646795827123696,0.6496585226482184,0.6491697911087306,0.6499116967803288,0.29552758435993576,0.5874285560954083,0.503086854211318,0.5442195353892134,0.4557804646107866,0.495,0.485,7361.0,4006.0,3355.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.495,0.49,7468.0,0.9929030530262453,0.6525212181727409,0.6435904957465532,0.6480558569596471,0.6491697911087306,0.6484153742414026,0.2947241564006428,0.5908379205101862,0.49882403645681656,0.5402562373567094,0.45974376264329064,0.495,0.49,7415.0,4006.0,3409.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.495,0.495,7468.0,1.0,0.6525212181727409,0.6412478336221837,0.6468845258974623,0.6491697911087306,0.6472951258703803,0.2945902517407606,0.5938896144315202,0.49603536512883234,0.5364220674879486,0.4635779325120514,0.495,0.495,7468.0,4006.0,3462.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.4,7468.0,0.8606052490626673,0.6558245083207261,0.6863063795205201,0.6710654439206232,0.6491697911087306,0.6674964991442353,0.28829673272629885,0.5349338820528984,0.538939002367754,0.6170841761319433,0.3829158238680566,0.5,0.4,6427.0,3966.0,2461.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.405,7468.0,0.8685056239957151,0.6558245083207261,0.6861111111111111,0.6709678097159186,0.6491697911087306,0.6675917360468702,0.2911087305838243,0.5373066598376995,0.5417925224894057,0.6114708603145236,0.3885291396854764,0.5,0.405,6486.0,3966.0,2520.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.41,7468.0,0.8762720942688805,0.6558245083207261,0.6830876648564779,0.669456086588602,0.6491697911087306,0.6665647921760391,0.29191215854311736,0.5405367405300786,0.5400412898054867,0.6060513447432763,0.39394865525672373,0.5,0.41,6544.0,3966.0,2578.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.415,7468.0,0.8845741831815748,0.6558245083207261,0.6806818181818182,0.6682531632512722,0.6491697911087306,0.6657584014532243,0.29325120514193886,0.5437476335762924,0.5393149083025723,0.6003633060853769,0.3996366939146231,0.5,0.415,6606.0,3966.0,2640.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.42,7468.0,0.8948848419925013,0.6558245083207261,0.6768494663231506,0.6663369873219384,0.6491697911087306,0.6643722878946581,0.29418853776111403,0.5480402832964869,0.5368009373171563,0.5934460571599581,0.40655394284004187,0.5,0.42,6683.0,3966.0,2717.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.425,7468.0,0.9013122656668452,0.6558245083207261,0.6741410488245931,0.6649827785726596,0.6491697911087306,0.6633486851879364,0.2944563470808785,0.5508429533841596,0.5345558934209035,0.5892140840885456,0.41078591591145447,0.5,0.425,6731.0,3966.0,2765.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.43,7468.0,0.9080074986609534,0.6558245083207261,0.6731793960923623,0.6645019522065443,0.6491697911087306,0.663029051762277,0.2960632029994645,0.5531474919320746,0.5352337438344934,0.5848694882760654,0.4151305117239345,0.5,0.43,6781.0,3966.0,2815.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.435,7468.0,0.9163095875736476,0.6558245083207261,0.6694473409801877,0.662635924650457,0.6491697911087306,0.6615519508987286,0.2960632029994644,0.5568870552339061,0.531639585113198,0.5795703638754932,0.4204296361245068,0.5,0.435,6843.0,3966.0,2877.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.44,7468.0,0.9251472951258704,0.6558245083207261,0.6676860346585117,0.6617552714896189,0.6491697911087306,0.6608771168041685,0.2976700589180504,0.5601237524903849,0.5314362363577149,0.5740338688666956,0.4259661311333044,0.5,0.44,6909.0,3966.0,2943.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.445,7468.0,0.9317086234600964,0.6558245083207261,0.6664438502673797,0.6611341792940529,0.6491697911087306,0.6603909169301524,0.29887520085698993,0.5625092988578528,0.5313249069194788,0.5699913768324231,0.4300086231675769,0.5,0.445,6958.0,3966.0,2992.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.45,7468.0,0.9381360471344403,0.6558245083207261,0.6648026315789474,0.6603135699498368,0.6491697911087306,0.6597202397944619,0.2996786288162829,0.5650032824321277,0.5304015713435832,0.5660862118184413,0.4339137881815587,0.5,0.45,7006.0,3966.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.455,7468.0,0.9442956614890198,0.6558245083207261,0.6607258587167855,0.6582751835187558,0.6491697911087306,0.6579693703913784,0.2983395822174612,0.5683115691553176,0.5249577844436351,0.5623936471922859,0.43760635280771415,0.5,0.455,7052.0,3966.0,3086.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.46,7468.0,0.9499196572040707,0.6558245083207261,0.657928388746803,0.6568764485337646,0.6491697911087306,0.656752184945024,0.2978039635779325,0.571014751834897,0.5215346234418116,0.5590639977445728,0.4409360022554271,0.5,0.46,7094.0,3966.0,3128.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.465,7468.0,0.9552758435993572,0.6558245083207261,0.6556186868686869,0.6557215975947065,0.6491697911087306,0.6557331090552285,0.29753615425816826,0.5734717470552446,0.518833152262522,0.5559293523969723,0.4440706476030278,0.5,0.465,7134.0,3966.0,3168.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.47,7468.0,0.9613015532940546,0.6558245083207261,0.6511048863990041,0.6534646973598651,0.6491697911087306,0.6537122161860983,0.2955275843599357,0.5769635902438381,0.5122118437924981,0.552444630171333,0.44755536982866695,0.5,0.47,7179.0,3966.0,3213.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.475,7468.0,0.9674611676486342,0.6558245083207261,0.6489720773243326,0.6523982928225294,0.6491697911087306,0.6527335640138409,0.2955275843599358,0.5796264242116204,0.5098587159167183,0.5489273356401384,0.4510726643598616,0.5,0.475,7225.0,3966.0,3259.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.48,7468.0,0.9741564006427423,0.6558245083207261,0.6482320942883046,0.6520283013045154,0.6491697911087306,0.6523711340206185,0.2968666309587573,0.5819320276819214,0.5101397016096557,0.5451546391752577,0.45484536082474225,0.5,0.48,7275.0,3966.0,3309.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.485,7468.0,0.9803160149973219,0.6558245083207261,0.646795827123696,0.6513101677222111,0.6491697911087306,0.6516869280152985,0.2974022495982861,0.5843431206915316,0.5089514004140754,0.5417292719573829,0.45827072804261715,0.5,0.485,7321.0,3966.0,3355.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.49,7468.0,0.9875468666309588,0.6558245083207261,0.6435904957465532,0.6497075020336397,0.6491697911087306,0.6501694915254237,0.296598821638993,0.5877703824589862,0.5046168205994783,0.5377627118644068,0.4622372881355932,0.5,0.49,7375.0,3966.0,3409.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.495,7468.0,0.9946438136047134,0.6558245083207261,0.6412478336221837,0.648536170971455,0.6491697911087306,0.6490306946688207,0.29646491697911087,0.5908379205101864,0.5017702938279833,0.5339256865912763,0.46607431340872374,0.5,0.495,7428.0,3966.0,3462.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.5,0.5,7468.0,1.0,0.6558245083207261,0.6416333523700742,0.6487289303454002,0.6491697911087306,0.6491697911087306,0.29833958221746126,0.5923092172938637,0.5036889069201255,0.5310658810926621,0.468934118907338,0.5,0.5,7468.0,3966.0,3502.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.505,0.4,7468.0,0.8557846813069094,0.6572519083969466,0.6863063795205201,0.6717791439587333,0.6491697911087306,0.6684399937411986,0.28829673272629885,0.5326762377751662,0.5412231901509827,0.6149272414332655,0.38507275856673445,0.505,0.4,6391.0,3930.0,2461.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.505,0.405,7468.0,0.8636850562399572,0.6572519083969466,0.6861111111111111,0.6716815097540288,0.6491697911087306,0.6685271317829458,0.29110873058382436,0.5350590274241398,0.5440684404209917,0.6093023255813953,0.39069767441860465,0.505,0.405,6450.0,3930.0,2520.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.505,0.41,7468.0,0.8714515265131226,0.6572519083969466,0.6830876648564779,0.6701697866267122,0.6491697911087306,0.6674861708666256,0.2919121585431172,0.5383025951869476,0.5422826513435975,0.6038721573448064,0.39612784265519363,0.505,0.41,6508.0,3930.0,2578.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.505,0.415,7468.0,0.8797536154258169,0.6572519083969466,0.6806818181818182,0.6689668632893824,0.6491697911087306,0.6666666666666666,0.29325120514193886,0.5415267353898041,0.541526735389804,0.5981735159817352,0.4018264840182648,0.505,0.415,6570.0,3930.0,2640.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.505,0.42,7468.0,0.8900642742367434,0.6572519083969466,0.6768494663231506,0.6670506873600486,0.6491697911087306,0.665262524447119,0.29418853776111403,0.5458368513006563,0.5389678931719286,0.5912441703023921,0.40875582969760793,0.505,0.42,6647.0,3930.0,2717.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.505,0.425,7468.0,0.8964916979110873,0.6572519083969466,0.6741410488245931,0.6656964786107699,0.6491697911087306,0.6642270351008215,0.29445634708087837,0.5486507772846991,0.5366917523349879,0.5870052277819268,0.4129947722180732,0.505,0.425,6695.0,3930.0,2765.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.505,0.43,7468.0,0.9031869309051955,0.6572519083969466,0.6731793960923623,0.6652156522446544,0.6491697911087306,0.6638991845811713,0.2960632029994644,0.5509644852010568,0.5373544229287768,0.5826538176426983,0.4173461823573017,0.505,0.43,6745.0,3930.0,2815.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.505,0.435,7468.0,0.9114890198178897,0.6572519083969466,0.6694473409801877,0.6633496246885671,0.6491697911087306,0.6624063464081092,0.29606320299946426,0.5547187651497042,0.5337176630748457,0.5773468488320846,0.4226531511679154,0.505,0.435,6807.0,3930.0,2877.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.505,0.44,7468.0,0.9203267273701125,0.6572519083969466,0.6676860346585117,0.6624689715277292,0.6491697911087306,0.6617197730248799,0.2976700589180503,0.5579680405059335,0.5334894425998667,0.5718027062418158,0.4281972937581842,0.505,0.44,6873.0,3930.0,2943.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.505,0.445,7468.0,0.9268880557043385,0.6572519083969466,0.6664438502673797,0.6618478793321632,0.6491697911087306,0.6612250794568044,0.2988752008569899,0.5603627641302322,0.5333602087584984,0.5677549841086391,0.4322450158913609,0.505,0.445,6922.0,3930.0,2992.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
0.505,0.45,7468.0,0.9333154793786824,0.6572519083969466,0.6648026315789474,0.6610272699879469,0.6491697911087306,0.660545193687231,0.29967862881628277,0.5628662587872894,0.5324153369255932,0.563845050215208,0.43615494978479197,0.505,0.45,6970.0,3930.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954
