decision_mode,t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
first_minute_relative,0.62,0.42,7468.0,0.7936529191215854,0.6504824151882975,0.6212232866617539,0.6358528509250256,0.6170326727370112,0.6370845284292223,0.5420954951914966,0.4579045048085035,0.62,0.42,5927.0,3213.0,2714.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2175950723085164,0.5366832617163819,0.4054441191488243,3213.0,2714.0,5927.0,0.7936529191215854,0.6370845284292223,4825.0,0.8126424870466321,0.8051517470033155,3921.0,2643.0,0.7589860007567159,0.3085742771684945,2006.0
first_minute_relative,0.62,0.44,7468.0,0.8109266202463846,0.645693341478314,0.616822429906542,0.631257885692428,0.6170326727370112,0.6324306472919419,0.5406208718626155,0.4593791281373844,0.62,0.44,6056.0,3274.0,2782.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2147830744509909,0.5459594974883182,0.393404777165886,3274.0,2782.0,6056.0,0.8109266202463846,0.6324306472919419,4825.0,0.8281865284974094,0.79004004004004,3996.0,2643.0,0.7794173287930383,0.32669902912621357,2060.0
first_minute_relative,0.62,0.46,7468.0,0.8273968934118907,0.6405169822663059,0.6153576437587658,0.6279373130125359,0.6170326727370112,0.6289043534552516,0.5384366402330474,0.46156335976695256,0.62,0.46,6179.0,3327.0,2852.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.21331012319228707,0.5541149565837415,0.3849564438891846,3327.0,2852.0,6179.0,0.8273968934118907,0.6289043534552516,4825.0,0.8420725388601036,0.7770120600541471,4063.0,2643.0,0.8006053726825577,0.3445179584120983,2116.0
first_minute_relative,0.62,0.48,7468.0,0.8454740224959829,0.637864936596874,0.6093055080396853,0.6235852223182796,0.6170326727370112,0.6246436490338929,0.5370605004751347,0.4629394995248654,0.62,0.48,6314.0,3391.0,2923.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.21076593465452595,0.5633418535141238,0.3741350537684517,3391.0,2923.0,6314.0,0.8454740224959829,0.6246436490338929,4825.0,0.8580310880829015,0.7625603864734299,4140.0,2643.0,0.8225501324252743,0.3620055197792088,2174.0
first_minute_relative,0.64,0.02,7468.0,0.5816818425281199,0.7093311312964492,0.6878251821019771,0.6985781566992131,0.6170326727370112,0.6998158379373849,0.5575506445672191,0.44244935543278086,0.64,0.02,4344.0,2422.0,1922.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2324584895554365,0.41786562012965567,0.5562996292523636,2422.0,1922.0,4344.0,0.5816818425281199,0.6998158379373849,4825.0,0.6298445595854922,1.0,3039.0,2643.0,0.49375709421112374,0.0007662835249042146,1305.0
first_minute_relative,0.64,0.05,7468.0,0.5838243170862346,0.7086419753086419,0.6875647668393783,0.6981033710740101,0.6170326727370112,0.6993119266055046,0.5573394495412844,0.4426605504587156,0.64,0.05,4360.0,2430.0,1930.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.23272629887520083,0.4189856908123676,0.5554516633347786,2430.0,1930.0,4360.0,0.5838243170862346,0.6993119266055046,4825.0,0.6312953367875648,0.9977019041365726,3046.0,2643.0,0.49716231555051077,0.0076103500761035,1314.0
first_minute_relative,0.64,0.08,7468.0,0.5901178361006963,0.7074663402692778,0.684560327198364,0.6960133337338209,0.6170326727370112,0.6972997503970956,0.5561606535057863,0.44383934649421375,0.64,0.08,4407.0,2451.0,1956.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.23286020353508308,0.4226450239655101,0.5509592928605864,2451.0,1956.0,4407.0,0.5901178361006963,0.6972997503970956,4825.0,0.6360621761658031,0.9902248289345064,3069.0,2643.0,0.5062429057888763,0.025411061285500747,1338.0
first_minute_relative,0.64,0.1,7468.0,0.5958757364756293,0.7060250707642539,0.6828528072837633,0.6944389390240087,0.6170326727370112,0.6957303370786517,0.5557303370786517,0.44426966292134834,0.64,0.1,4450.0,2473.0,1977.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.23326191751472955,0.42580149069777795,0.547818461444261,2473.0,1977.0,4450.0,0.5958757364756293,0.6957303370786517,4825.0,0.6402072538860104,0.9838135318873422,3089.0,2643.0,0.5149451381006432,0.04188096987509184,1361.0
first_minute_relative,0.64,0.12,7468.0,0.602972683449384,0.7029188324670131,0.6813186813186813,0.6921187568928473,0.6170326727370112,0.6933155673995114,0.5554075061070397,0.44459249389296024,0.64,0.12,4503.0,2501.0,2002.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2331280128548473,0.43002597049163016,0.5421254269557768,2501.0,2002.0,4503.0,0.602972683449384,0.6933155673995114,4825.0,0.6458031088082902,0.9752888318356868,3116.0,2643.0,0.5247824441922059,0.059841384282624366,1387.0
first_minute_relative,0.64,0.15,7468.0,0.6160953401178361,0.6975648075412412,0.6768856447688565,0.6872252261550489,0.6170326727370112,0.6883286242121278,0.5533579656596392,0.4466420343403608,0.64,0.15,4601.0,2546.0,2055.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.23205677557579005,0.4382000482325658,0.529568119656232,2546.0,2055.0,4601.0,0.6160953401178361,0.6883286242121278,4825.0,0.6567875647668394,0.9589775954559798,3169.0,2643.0,0.5418085508891411,0.0893854748603352,1432.0
first_minute_relative,0.64,0.18,7468.0,0.6294858061060525,0.6947652040030793,0.6728483119353305,0.6838067579692049,0.6170326727370112,0.684960646670921,0.5526483726866624,0.4473516273133376,0.64,0.18,4701.0,2598.0,2103.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.232860203535083,0.44532325482225243,0.5229015125833198,2598.0,2103.0,4701.0,0.6294858061060525,0.684960646670921,4825.0,0.6665284974093264,0.9449626865671642,3216.0,2643.0,0.5618615209988649,0.12188552188552189,1485.0
first_minute_relative,0.64,0.2,7468.0,0.6389930369576862,0.6913439635535308,0.6697848456501403,0.6805644046018355,0.6170326727370112,0.6816848281642917,0.5519698239731768,0.44803017602682316,0.64,0.2,4772.0,2634.0,2138.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.23219068023567216,0.4510001977394323,0.5148349854379034,2634.0,2138.0,4772.0,0.6389930369576862,0.6816848281642917,4825.0,0.6744041450777202,0.9339274738783037,3254.0,2643.0,0.5743473325766175,0.14097496706192358,1518.0
first_minute_relative,0.64,0.22,7468.0,0.6482324584895555,0.6869141357330334,0.6683532658693653,0.6776337008011993,0.6170326727370112,0.6785788060318116,0.5509192315637265,0.4490807684362735,0.64,0.22,4841.0,2667.0,2174.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.23152115693626144,0.4564599114672032,0.5072102743745467,2667.0,2174.0,4841.0,0.6482324584895555,0.6785788060318116,4825.0,0.6820725388601037,0.9234275296262534,3291.0,2643.0,0.5864547862277715,0.15870967741935485,1550.0
first_minute_relative,0.64,0.25,7468.0,0.6636314943760043,0.6806321205439176,0.6604026845637584,0.6705174025538381,0.6170326727370112,0.6715092816787732,0.5490314769975787,0.4509685230024213,0.64,0.25,4956.0,2721.0,2235.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.22763792179967865,0.46690125967720714,0.48755045543688713,2721.0,2235.0,4956.0,0.6636314943760043,0.6715092816787732,4825.0,0.6969948186528497,0.903657448706512,3363.0,2643.0,0.6027241770715096,0.18141870684243566,1593.0
first_minute_relative,0.64,0.28,7468.0,0.6803695768612747,0.6764705882352942,0.6563453990405582,0.6664079936379261,0.6170326727370112,0.6673883093879157,0.5487108836843141,0.4512891163156859,0.64,0.28,5081.0,2788.0,2293.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2277718264595607,0.4757088134571999,0.4788051430122465,2788.0,2293.0,5081.0,0.6803695768612747,0.6673883093879157,4825.0,0.7098445595854922,0.8872992700729927,3425.0,2643.0,0.626560726447219,0.21256038647342995,1656.0
first_minute_relative,0.64,0.3,7468.0,0.6908141403320835,0.6737513283740701,0.651541095890411,0.6626462121322405,0.6170326727370112,0.6636945144407831,0.5471990695871293,0.45280093041287073,0.64,0.3,5159.0,2823.0,2336.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.2261649705409748,0.4820006067377451,0.4692213399308653,2823.0,2336.0,5159.0,0.6908141403320835,0.6636945144407831,4825.0,0.7191709844559585,0.875792507204611,3470.0,2643.0,0.6390465380249716,0.22794552989934871,1689.0
first_minute_relative,0.64,0.32,7468.0,0.7029994643813605,0.6712041884816754,0.6457023060796646,0.65845324728067,0.6170326727370112,0.6596190476190477,0.5457142857142857,0.4542857142857143,0.64,0.32,5250.0,2865.0,2385.0,0.6634866403137537,0.2494159312451792,0.7185211861808959,0.22442420996250675,0.48917034579932056,0.4587853942695364,2865.0,2385.0,5250.0,0.7029994643813605,0.6596190476190477,4825.0,0.7299481865284974,0.862862010221465,3522.0,2643.0,0.6538024971623155,0.24537037037037038,1728.0
