t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count,constraint_satisfied,objective,hard_constraint
0.52,0.17,7442.0,0.3356624563289438,0.5762915498598318,1.0,0.7881457749299159,0.5491803278688525,0.5764611689351481,0.999599679743795,0.00040032025620496394,0.52,0.17,2498.0,2497.0,1.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.051330287557108285,0.3770491803278689,0.13613684960798283,2497.0,1.0,2498.0,0.3356624563289438,0.5764611689351481,4807.0,0.34324942791762014,0.6442424242424243,1650.0,2635.0,0.3218216318785579,0.44457547169811323,848.0,,,
0.52,0.19,7442.0,0.3357968288094598,0.5762915498598318,1.0,0.7881457749299159,0.5491803278688525,0.5766306522609044,0.9991996798719488,0.0008003201280512205,0.52,0.19,2499.0,2497.0,2.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.0514646600376243,0.3770491803278689,0.13649322879543835,2497.0,2.0,2499.0,0.3357968288094598,0.5766306522609044,4807.0,0.34324942791762014,0.6442424242424243,1650.0,2635.0,0.3222011385199241,0.4452296819787986,849.0,,,
0.52,0.21,7442.0,0.33593120128997583,0.5762915498598318,1.0,0.7881457749299159,0.5491803278688525,0.5768,0.9988,0.0012,0.52,0.21,2500.0,2497.0,3.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.05159903251814028,0.3770491803278689,0.13684960798289378,2497.0,3.0,2500.0,0.33593120128997583,0.5768,4807.0,0.34345745787393384,0.6444579043004239,1651.0,2635.0,0.3222011385199241,0.4452296819787986,849.0,,,
0.52,0.23,7442.0,0.3360655737704918,0.5762915498598318,1.0,0.7881457749299159,0.5491803278688525,0.5769692123150739,0.9984006397441023,0.001599360255897641,0.52,0.23,2501.0,2497.0,4.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.05173340499865624,0.3770491803278689,0.13720598717034915,2497.0,4.0,2501.0,0.3360655737704918,0.5769692123150739,4807.0,0.34366548783024753,0.6446731234866828,1652.0,2635.0,0.3222011385199241,0.4452296819787986,849.0,,,
0.52,0.25,7442.0,0.33646869121203976,0.5762915498598318,0.8571428571428571,0.7167172035013445,0.5491803278688525,0.577076677316294,0.9972044728434505,0.0027955271565495207,0.52,0.25,2504.0,2497.0,7.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.051867777479172296,0.3772273278361918,0.1374974018364213,2497.0,7.0,2504.0,0.33646869121203976,0.577076677316294,4807.0,0.34408154774287497,0.6451027811366384,1654.0,2635.0,0.3225806451612903,0.4447058823529412,850.0,,,
0.52,0.27,7442.0,0.3374092985756517,0.5762915498598318,0.7142857142857143,0.6452886320727731,0.5491803278688525,0.5770609318996416,0.9944245320589407,0.005575467941059339,0.52,0.27,2511.0,2497.0,14.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.052002149959688264,0.37776126628862006,0.13765876652890396,2497.0,14.0,2511.0,0.3374092985756517,0.5770609318996416,4807.0,0.3447056376118161,0.6457453228726614,1657.0,2635.0,0.3240986717267552,0.44379391100702575,854.0,,,
0.52,0.29,7442.0,0.33861865090029564,0.5762915498598318,0.7391304347826086,0.6577109923212202,0.5491803278688525,0.5777777777777777,0.9908730158730159,0.009126984126984128,0.52,0.29,2520.0,2497.0,23.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.05267401236226817,0.3781168063826491,0.1393061918251864,2497.0,23.0,2520.0,0.33861865090029564,0.5777777777777777,4807.0,0.3459538173496984,0.6470234515935057,1663.0,2635.0,0.3252371916508539,0.44340723453908987,857.0,,,
0.52,0.31,7442.0,0.34090298306906747,0.5762915498598318,0.725,0.6506457749299159,0.5491803278688525,0.5786361844698463,0.9842333464722113,0.015766653527788728,0.52,0.31,2537.0,2497.0,40.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.05361461972588018,0.379004197432685,0.14146180989302284,2497.0,40.0,2537.0,0.34090298306906747,0.5786361844698463,4807.0,0.34845017682546287,0.648955223880597,1675.0,2635.0,0.327134724857685,0.4419953596287703,862.0,,,
0.52,0.33,7442.0,0.3443966675624832,0.5762915498598318,0.7727272727272727,0.6745094112935522,0.5491803278688525,0.5813499804916114,0.9742489270386266,0.02575107296137339,0.52,0.33,2563.0,2497.0,66.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.05603332437516794,0.37971261711149085,0.1475677179268328,2497.0,66.0,2563.0,0.3443966675624832,0.5813499804916114,4807.0,0.3534428957769919,0.6521483225426722,1699.0,2635.0,0.32789373814041745,0.44212962962962965,864.0,,,
0.52,0.35,7442.0,0.35326525127653857,0.5762915498598318,0.7575757575757576,0.6669336537177947,0.5491803278688525,0.5853936858120958,0.9497907949790795,0.0502092050209205,0.52,0.35,2629.0,2497.0,132.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.060333243751679644,0.38270877147307386,0.15764792512973405,2497.0,132.0,2629.0,0.35326525127653857,0.5853936858120958,4807.0,0.36363636363636365,0.6550343249427918,1748.0,2635.0,0.33434535104364327,0.44721906923950056,881.0,,,
0.52,0.37,7442.0,0.3624025799516259,0.5762915498598318,0.7,0.6381457749299159,0.5491803278688525,0.5854653318502039,0.9258435298479792,0.07415647015202076,0.52,0.37,2697.0,2497.0,200.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.0619457135178715,0.3875931284438325,0.159821495717895,2497.0,200.0,2697.0,0.3624025799516259,0.5854653318502039,4807.0,0.3727896817141668,0.6551339285714286,1792.0,2635.0,0.34345351043643263,0.44751381215469616,905.0,,,
0.52,0.39,7442.0,0.37557108304219294,0.5762915498598318,0.6946308724832215,0.6354612111715267,0.5491803278688525,0.5889087656529517,0.8933810375670841,0.10661896243291592,0.52,0.39,2795.0,2497.0,298.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.06678312281644719,0.3929299939084224,0.16996188596386938,2497.0,298.0,2795.0,0.37557108304219294,0.5889087656529517,4807.0,0.38631162887455794,0.6569736133548735,1857.0,2635.0,0.355977229601518,0.4541577825159915,938.0,,,
0.52,0.41,7442.0,0.39398011287288365,0.5762915498598318,0.6666666666666666,0.6214791082632491,0.5491803278688525,0.589699863574352,0.8516371077762619,0.14836289222373805,0.52,0.41,2932.0,2497.0,435.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.07067992475141094,0.40205732683379414,0.1757956391642359,2497.0,435.0,2932.0,0.39398011287288365,0.589699863574352,4807.0,0.40461826503016435,0.655012853470437,1945.0,2635.0,0.374573055028463,0.46099290780141844,987.0,,,
0.52,0.43,7442.0,0.42555764579414135,0.5762915498598318,0.6402985074626866,0.6082950286612592,0.5491803278688525,0.5898326491948216,0.7884433217556047,0.21155667824439534,0.52,0.43,3167.0,2497.0,670.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.07645794141359849,0.4177916372909724,0.1830049589057454,2497.0,670.0,3167.0,0.42555764579414135,0.5898326491948216,4807.0,0.4351986686082796,0.6553537284894837,2092.0,2635.0,0.4079696394686907,0.46232558139534885,1075.0,,,
0.52,0.45,7442.0,0.4693630744423542,0.5762915498598318,0.6114457831325302,0.593868666496181,0.5491803278688525,0.5863154881190953,0.7148582880045806,0.28514171199541943,0.52,0.45,3493.0,2497.0,996.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.08102660575114212,0.44064524772838076,0.18388171929426533,2497.0,996.0,3493.0,0.4693630744423542,0.5863154881190953,4807.0,0.476388599958394,0.6467248908296943,2290.0,2635.0,0.45654648956356736,0.4713216957605985,1203.0,,,
0.52,0.47,7442.0,0.5659768879333512,0.5762915498598318,0.5801749271137027,0.5782332384867672,0.5491803278688525,0.5778727445394112,0.5928300094966762,0.40716999050332386,0.52,0.47,4212.0,2497.0,1715.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.08814834721848962,0.4887885742910024,0.18034044135821004,2497.0,1715.0,4212.0,0.5659768879333512,0.5778727445394112,4807.0,0.570834200124818,0.6271865889212828,2744.0,2635.0,0.5571157495256167,0.48569482288828336,1468.0,,,
0.52,0.49,7442.0,0.7092179521633969,0.5762915498598318,0.5476447321107515,0.5619681409852917,0.5491803278688525,0.5611974232663888,0.47309586964759376,0.5269041303524062,0.52,0.49,5278.0,2497.0,2781.0,0.5713613964464187,0.24516874160171997,0.6832845365533255,0.08680462241332973,0.5578590008909362,0.15560315827959617,2497.0,2781.0,5278.0,0.7092179521633969,0.5611974232663888,4807.0,0.7139588100686499,0.5958624708624709,3432.0,2635.0,0.7005692599620493,0.4967497291440953,1846.0,,,
