cutoff,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count,constraint_satisfied
0.245,7468.0,0.9137653990358865,0.6622795472492762,0.6654545454545454,0.6638670463519107,0.6491697911087306,0.6636869871043376,0.5567116060961314,0.4432883939038687,0.245,0.0,6824.0,3799.0,3025.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2991430101767541,0.5543565589307717,0.5396220272990604,3799.0,3025.0,6824.0,0.9137653990358865,0.6636869871043376,4825.0,0.9311917098445596,0.9779657244602715,4493.0,2643.0,0.8819523269012486,0.05791505791505792,2331.0,
0.25,7468.0,0.912560257096947,0.6629776021080369,0.6655629139072847,0.6642702580076608,0.6491697911087306,0.6641232575201761,0.5568598679383713,0.4431401320616288,0.25,0.0,6815.0,3795.0,3020.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29954472415640065,0.553631435587136,0.5410543999163056,3795.0,3020.0,6815.0,0.912560257096947,0.6641232575201761,4825.0,0.9305699481865285,0.9779510022271715,4490.0,2643.0,0.8796821793416572,0.05806451612903226,2325.0,
0.255,7468.0,0.9116229244777718,0.6630606860158311,0.6656726308813784,0.6643666584486048,0.6491697911087306,0.6642185663924794,0.5566980023501763,0.44330199764982375,0.255,0.0,6808.0,3790.0,3018.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2994108194965185,0.5532685175307074,0.541167281364244,3790.0,3018.0,6808.0,0.9116229244777718,0.6642185663924794,4825.0,0.929740932642487,0.9779313419527419,4486.0,2643.0,0.8785471055618616,0.05813953488372093,2322.0,
0.26,7468.0,0.9104177825388323,0.6633192389006343,0.6656716417910448,0.6644954403458395,0.6491697911087306,0.6643624062362112,0.5565524341814972,0.4434475658185027,0.26,0.0,6799.0,3784.0,3015.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2992769148366364,0.5527842561534274,0.5413991290547372,3784.0,3015.0,6799.0,0.9104177825388323,0.6643624062362112,4825.0,0.9287046632124353,0.9779067172506137,4481.0,2643.0,0.8770336738554673,0.05823986194995686,2318.0,
0.265,7468.0,0.9097482592394215,0.6640211640211641,0.665892501658925,0.6649568328400446,0.6491697911087306,0.6648513394171328,0.556373270532823,0.4436267294671769,0.265,0.0,6794.0,3780.0,3014.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2999464381360472,0.5521783322004651,0.5432057374304095,3780.0,3014.0,6794.0,0.9097482592394215,0.6648513394171328,4825.0,0.9287046632124353,0.9779067172506137,4481.0,2643.0,0.8751418842224744,0.058365758754863814,2313.0,
0.27,7468.0,0.9082753079807178,0.6647214854111406,0.6661135081314304,0.6654174967712856,0.6491697911087306,0.6653398201385817,0.5558012678755713,0.44419873212442873,0.27,0.0,6783.0,3770.0,3013.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.3003481521156936,0.5513289199130698,0.5447712631563943,3770.0,3013.0,6783.0,0.9082753079807178,0.6653398201385817,4825.0,0.9278756476683938,0.9778869778869779,4477.0,2643.0,0.8724933787362845,0.0585429314830876,2306.0,
0.275,7468.0,0.9064006427423674,0.6646276595744681,0.6666666666666666,0.6656471631205674,0.6491697911087306,0.6655340522972374,0.5554734820505245,0.44452651794947556,0.275,0.0,6769.0,3760.0,3009.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.30008034279592927,0.5505998092745938,0.545006259975426,3760.0,3009.0,6769.0,0.9064006427423674,0.6655340522972374,4825.0,0.9262176165803109,0.9778473931528306,4469.0,2643.0,0.8702232311766932,0.058695652173913045,2300.0,
0.28,7468.0,0.9045259775040171,0.6647121535181236,0.666999666999667,0.6658559102588952,0.6491697911087306,0.6657290895632865,0.555440414507772,0.44455958549222796,0.28,0.0,6755.0,3752.0,3003.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.299812533476165,0.5498697318583067,0.545242838631864,3752.0,3003.0,6755.0,0.9045259775040171,0.6657290895632865,4825.0,0.9245595854922279,0.9778076664425017,4461.0,2643.0,0.8679530836171018,0.05884917175239756,2294.0,
0.285,7468.0,0.9031869309051955,0.6652429257875067,0.6675558519506503,0.6663993888690785,0.6491697911087306,0.6662713120830245,0.5553743513713862,0.4446256486286138,0.285,0.0,6745.0,3746.0,2999.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.30034815211569366,0.549016747827196,0.5470655554759666,3746.0,2999.0,6745.0,0.9031869309051955,0.6662713120830245,4825.0,0.9239378238341969,0.977792732166891,4458.0,2643.0,0.8653045781309119,0.05902929602098819,2287.0,
0.29,7468.0,0.9017139796464917,0.6648822269807281,0.6674449633088726,0.6661635951448004,0.6491697911087306,0.666023166023166,0.5547965547965548,0.4452034452034452,0.29,0.0,6734.0,3736.0,2998.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2994108194965185,0.5487727945835021,0.5456006975049847,3736.0,2998.0,6734.0,0.9017139796464917,0.666023166023166,4825.0,0.9220725388601037,0.9777478084962913,4449.0,2643.0,0.8645478622777147,0.05908096280087528,2285.0,
0.295,7468.0,0.899571505088377,0.665503355704698,0.6682258603407952,0.6668646080227466,0.6491697911087306,0.6667162846085144,0.5544805001488539,0.4455194998511462,0.295,0.0,6718.0,3725.0,2993.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604704,0.5475513980222907,0.5477959497855877,3725.0,2993.0,6718.0,0.899571505088377,0.6667162846085144,4825.0,0.9208290155440414,0.9777177582714383,4443.0,2643.0,0.8607642830117291,0.05934065934065934,2275.0,
0.3,7468.0,0.8979646491697911,0.6659494351802044,0.6683400267737617,0.6671447309769831,0.6491697911087306,0.6670146137787056,0.5544288696689532,0.44557113033104684,0.3,0.0,6706.0,3718.0,2988.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29994643813604716,0.5468172505662856,0.5485314112263681,3718.0,2988.0,6706.0,0.8979646491697911,0.6670146137787056,4825.0,0.9195854922279793,0.9779130042821726,4437.0,2643.0,0.8584941354521377,0.05905685323931247,2269.0,
0.305,7468.0,0.8960899839314408,0.665948275862069,0.6684563758389261,0.6672023258504975,0.6491697911087306,0.667065152420801,0.5546921697549313,0.44530783024506876,0.305,0.0,6692.0,3712.0,2980.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.29941081949651854,0.5462047072457917,0.5481659449737841,3712.0,2980.0,6692.0,0.8960899839314408,0.667065152420801,4825.0,0.917720207253886,0.9778681120144534,4428.0,2643.0,0.856602345819145,0.05918727915194346,2264.0,
0.31,7468.0,0.8944831280128549,0.6662169454937938,0.668123739071957,0.6671703422828754,0.6491697911087306,0.667065868263473,0.5547904191616766,0.44520958083832335,0.31,0.0,6680.0,3706.0,2974.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2988752008569898,0.5457141775489551,0.5476771781876204,3706.0,2974.0,6680.0,0.8944831280128549,0.667065868263473,4825.0,0.9160621761658031,0.9778280542986425,4420.0,2643.0,0.8550889141127507,0.05929203539823009,2260.0,
0.315,7468.0,0.8931440814140332,0.6667568298620503,0.6683484695593677,0.6675526497107089,0.6491697911087306,0.6674662668665667,0.5542728635682159,0.44572713643178413,0.315,0.0,6670.0,3697.0,2973.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2991430101767542,0.5449775551512553,0.5489088630333203,3697.0,2973.0,6670.0,0.8931440814140332,0.6674662668665667,4825.0,0.9152331606217616,0.9778079710144928,4416.0,2643.0,0.8528187665531592,0.05944986690328305,2254.0,
