feature,importance_q50,importance_q60,importance_q70,importance_q80,importance_q90,importance_mean
rv_10_lag12,0.05439129855353267,0.06851548602693942,0.02388701290175338,0.059176076837385176,0.11012834214521659,0.06321964329296545
body_x_volume_3,0.0,0.019909192966499692,0.029125379166825234,0.09969560818348493,0.1667645162271942,0.06309893930880081
prev_bar_log_trade_count_lag12,0.01854904914612858,0.046397053826661754,0.06647156866514718,0.0860427238382921,0.09644872728944884,0.06278182455313568
dollar_vol_mean_20,0.0,0.06507982577004559,0.08320933017434495,0.12991555402553726,0.03516721909161549,0.06267438581230866
htf_close_z_15m_lag3,0.12955155549613398,0.044389211394087885,0.04839326542506341,0.031419200892156406,0.05894466782335371,0.06253958020615909
rv_3_rolling_z_6,0.019531862819152455,0.014365407442101874,0.0702451334338788,0.13082060542309487,0.07401674696225878,0.06179595121609736
volume_state_product__volume_z_20__relative_volume_3,0.10545836907262802,0.051872834546792895,0.04650323503589325,0.07037958214183897,0.03246007724273231,0.0613348196079771
prev_bar_lower_wick_bps,0.08694525450901429,0.0178221688217227,0.08178422184549912,0.10138768888455726,0.01822998229495327,0.06123386327114934
efficiency_3_delta_3,0.04949942672778651,0.11746297176753946,0.11031048490174213,0.021429675602593085,0.0,0.05974051179993223
vwap_dist_term_ratio__vwap_dist_3__vwap_dist_10,0.0667081266320817,0.06543639133788692,0.06874352934306849,0.03181884692211332,0.06533793093058593,0.059608965033147276
ret_vol_product__ret_1__rv_5,0.0,0.0,0.0,0.2125456713634703,0.08484006943763413,0.059477148160220886
body_imbalance_5,0.04270563704608118,0.040631670477980074,0.11238169302893178,0.09923989160406514,0.0,0.05899177843141164
range_pos_5_mean_gap_24,0.05768136135685037,0.07396288423581518,0.033000344513308404,0.06363205266899744,0.06640923507269954,0.058937175569534185
close_location_1,0.11196334777017762,0.03950083982593125,0.02642629625949491,0.023726922160403282,0.09246314292983497,0.0588161097891684
htf_close_z_15m_lag12,0.04227322991597409,0.06577109264964665,0.011041386871160281,0.11753519949210776,0.054047484164498255,0.05813367861867741
range_pos_5_rolling_z_12,0.1625765344287628,0.028513124003447205,0.040830520865923335,0.0,0.05790833039913988,0.05796570193945465
low_volume_flag_share_5_mean_gap_24,0.13029871439748708,0.04777893177487139,0.01698228506453164,0.02989360743732212,0.06404209884810681,0.05779912750446381
rv_3_mean_gap_12,0.112389835696392,0.10168655995149474,0.006893203808611364,0.019074210637945874,0.0472624265827217,0.05746124733543313
signed_volume_1,0.03186719446336237,0.09200561246244697,0.010996710425636476,0.0,0.15074012415397856,0.05712192830108487
rv_term_spread__rv_10__rv_30,0.06175193830245628,0.08313454677329647,0.04943774801294348,0.0401793394540926,0.04873885011540906,0.05664848453163958
ret_vol_product__ret_1__rv_10,0.13262874195782337,0.04524805806997916,0.004039664977252365,0.0,0.10054165152477479,0.05649162330596593
ret_term_ratio__ret_3__ret_5,0.07798216476099508,0.09718898729143029,0.049963587286676006,0.005935223577283966,0.051204865043531576,0.05645496559198339
abs_ret_mean_20,0.030935050497654305,0.025323401736645716,0.0,0.06983910143543551,0.15585088273586326,0.056389687281119746
signed_volume_1_lag6,0.11412704584296555,0.06971378314415208,0.029913706249234222,0.00916117785840877,0.05828260971382105,0.05623966456171634
context_relative_volume_product__clv_1__relative_volume_10,0.0542008955526353,0.05440185938179178,0.047062071454003734,0.0,0.12184441595825037,0.055501848469336236
rv_term_ratio__rv_3__rv_5,0.01156501590974911,0.07296439475082975,0.0928027959530398,0.010607162523347455,0.08932242540650587,0.0554523589086944
clv_1_delta_6,0.0,0.044201292520599775,0.0,0.08432305440793163,0.1480282990658118,0.05531052919886864
rv_term_spread__rv_3__rv_10,0.09170012749205612,0.054074187739028834,0.042340199792399745,0.0,0.087638386552927,0.055150580315282346
compression_score,0.07906295582543188,0.06624439568366655,0.06283761793690108,0.012541347762689855,0.0547335819718151,0.055083979836100895
context_ret_product__clv_1__ret_3,0.02757047384164545,0.053266154417559226,0.12309095069952088,0.031178922246092797,0.0402111270816042,0.05506352565728451
ret_1_mean_gap_6,0.0,0.028327690614941198,0.04472780003242906,0.05186912167776804,0.14929130829386697,0.05484318412380105
low_volume_flag_share_20_lag6,0.08294819618969715,0.03895291246842945,0.08772551131033911,0.020577287731606136,0.04088054795121606,0.054216891130257586
prev_bar_taker_buy_ratio_lag2,0.09514275624536142,0.06877762915398285,0.012744044395679551,0.03928923268454088,0.05484093280700118,0.05415891905731318
volume_z_term_ratio__volume_z_5__volume_z_10,0.05878386872002904,0.16925621882673722,0.01672522937206065,0.020830270581281403,0.004700492297271774,0.05405921595947601
rv_30_rolling_z_12,0.015706704072564442,0.05948905807624592,0.06549202243911541,0.04311188613378747,0.08600502849842458,0.053960939844027556
htf_range_pos_15m_delta_3,0.1054879173048112,0.043282502316773185,0.034826362617935154,0.052748003233464597,0.031793135514707735,0.05362758419753837
legal_prev_trade_count_sum_20,0.04712549532649061,0.0525621036243217,0.0,0.04671147497225939,0.11976824591574782,0.053233463967763905
