catboost_confidence,continuation_cutoff,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.15,0.675,7468.0,0.42755757900374936,0.7436034115138592,0.7327258921791951,0.7381646518465272,0.6501071237279057,0.7391168180394613,0.5875352333228938,0.4124647666771062,0.15,0.675,3193.0,1876.0,1317.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.20447241564006424,0.33397991209329125,0.6122296827928638,1876.0,1317.0,3193.0,0.42755757900374936,0.7391168180394613,4825.0,0.48911917098445595,1.0,2360.0,2643.0,0.31517215285660233,0.0,833.0
0.15,0.7,7468.0,0.4173808248527049,0.7456616052060737,0.7376276512175962,0.741644628211835,0.6501071237279057,0.7423804940648059,0.5915944818735964,0.4084055181264036,0.15,0.7,3117.0,1844.0,1273.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.20232994108194965,0.32791072243123986,0.6170275237778373,1844.0,1273.0,3117.0,0.4173808248527049,0.7423804940648059,4825.0,0.47958549222797925,1.0,2314.0,2643.0,0.30382141505864546,0.0,803.0
0.175,0.35,7468.0,1.0,0.649864096861873,0.6416252557731658,0.6457446763175194,0.6501071237279057,0.6460899839314408,0.5419121585431173,0.4580878414568827,0.175,0.35,7468.0,4047.0,3421.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2921799678628816,0.5949033670005233,0.4911385345422404,4047.0,3421.0,7468.0,1.0,0.6460899839314408,4825.0,1.0,1.0,4825.0,2643.0,1.0,0.0,2643.0
0.175,0.375,7468.0,1.0,0.649864096861873,0.6416252557731658,0.6457446763175194,0.6501071237279057,0.6460899839314408,0.5419121585431173,0.4580878414568827,0.175,0.375,7468.0,4047.0,3421.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2921799678628816,0.5949033670005233,0.4911385345422404,4047.0,3421.0,7468.0,1.0,0.6460899839314408,4825.0,1.0,1.0,4825.0,2643.0,1.0,0.0,2643.0
0.175,0.4,7468.0,1.0,0.649864096861873,0.6416252557731658,0.6457446763175194,0.6501071237279057,0.6460899839314408,0.5419121585431173,0.4580878414568827,0.175,0.4,7468.0,4047.0,3421.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2921799678628816,0.5949033670005233,0.4911385345422404,4047.0,3421.0,7468.0,1.0,0.6460899839314408,4825.0,1.0,1.0,4825.0,2643.0,1.0,0.0,2643.0
0.175,0.425,7468.0,0.9998660953401178,0.6500247157686604,0.6416252557731658,0.6458249857709131,0.6501071237279057,0.6461765099772332,0.5418508102316861,0.4581491897683139,0.175,0.425,7467.0,4046.0,3421.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.29231387252276386,0.5947908131508732,0.491456602993322,4046.0,3421.0,7467.0,0.9998660953401178,0.6461765099772332,4825.0,1.0,1.0,4825.0,2643.0,0.9996216420734014,0.0,2642.0
0.175,0.45,7468.0,0.9987948580610605,0.6502475247524753,0.6417081017841474,0.6459778132683114,0.6501071237279057,0.6463332886445904,0.5416275640166243,0.4583724359833758,0.175,0.45,7459.0,4040.0,3419.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2923138725227637,0.5943403846022483,0.4918290597371901,4040.0,3419.0,7459.0,0.9987948580610605,0.6463332886445904,4825.0,0.9991709844559585,1.0,4821.0,2643.0,0.9981082103670071,0.0,2638.0
0.175,0.475,7468.0,0.9892876272094269,0.6515,0.6425619834710744,0.6470309917355372,0.6501071237279057,0.6474011911207364,0.5414185165132648,0.4585814834867352,0.175,0.475,7388.0,4000.0,3388.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.291644349223353,0.5906112418444445,0.49380087705842635,4000.0,3388.0,7388.0,0.9892876272094269,0.6474011911207364,4825.0,0.9912953367875648,1.0,4783.0,2643.0,0.9856223987892546,0.0,2605.0
0.175,0.5,7468.0,0.946036422067488,0.6561357702349869,0.6472952086553323,0.6517154894451596,0.6501071237279057,0.6520877565463553,0.5421089879688605,0.4578910120311394,0.175,0.5,7065.0,3830.0,3235.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2877611140867703,0.5737051978066425,0.5015835923866865,3830.0,3235.0,7065.0,0.946036422067488,0.6520877565463553,4825.0,0.9548186528497409,1.0,4607.0,2643.0,0.9300037835792659,0.0,2458.0
0.175,0.525,7468.0,0.853776111408677,0.6690814256737178,0.6557264957264958,0.6624039607001068,0.6501071237279057,0.6629548306148055,0.5412484316185696,0.4587515683814304,0.175,0.525,6376.0,3451.0,2925.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2782538832351366,0.5364336996188533,0.5187106690590868,3451.0,2925.0,6376.0,0.853776111408677,0.6629548306148055,4825.0,0.8760621761658031,1.0,4227.0,2643.0,0.8130911842603102,0.0,2149.0
0.175,0.55,7468.0,0.7400910551687199,0.6863384414737529,0.6739837398373983,0.6801610906555756,0.6501071237279057,0.6808395151076534,0.5549122489596526,0.44508775104034737,0.175,0.55,5527.0,3067.0,2460.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.2676754151044457,0.48601216037475553,0.5507586783385129,3067.0,2460.0,5527.0,0.7400910551687199,0.6808395151076534,4825.0,0.7798963730569948,1.0,3763.0,2643.0,0.6674233825198638,0.0,1764.0
0.175,0.575,7468.0,0.6383235136582753,0.7026423520655005,0.6932692307692307,0.6979557914173656,0.6501071237279057,0.6985525487728131,0.5636668764422068,0.43633312355779313,0.175,0.575,4767.0,2687.0,2080.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.25348152115693634,0.43865817700194476,0.5778565964263617,2687.0,2080.0,4767.0,0.6383235136582753,0.6985525487728131,4825.0,0.6901554404145078,1.0,3330.0,2643.0,0.5437003405221339,0.0,1437.0
0.175,0.6,7468.0,0.5534279592929834,0.7165254237288136,0.7117879300620418,0.7141566768954277,0.6501071237279057,0.7144931042826035,0.5710137914347931,0.42898620856520686,0.175,0.6,4133.0,2360.0,1773.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.23741296197107664,0.3975015706396056,0.5972629531728991,2360.0,1773.0,4133.0,0.5534279592929834,0.7144931042826035,4825.0,0.6120207253886011,1.0,2953.0,2643.0,0.44646235338630347,0.0,1180.0
0.175,0.625,7468.0,0.48312801285484736,0.7351532567049809,0.7302631578947368,0.7327082072998589,0.6501071237279057,0.7330931263858093,0.5787139689578714,0.4212860310421286,0.175,0.625,3608.0,2088.0,1520.0,0.7058910363334758,0.21755449978607114,0.623945993595267,0.22522763792179962,0.3590963484449875,0.6272067062144014,2088.0,1520.0,3608.0,0.48312801285484736,0.7330931263858093,4825.0,0.5481865284974093,1.0,2645.0,2643.0,0.36435868331441545,0.0,963.0
