experiment_id,variant,prediction_column,source_type,prediction_path,sample_count,coverage_margin,coverage,mean_gap,median_gap,gap_p05,gap_p95,gap_p95_p05_range,p99_violation,max_violation,positive_gap_count,positive_gap_share,positive_gap_q10,positive_gap_q25,positive_gap_median,positive_gap_mean,positive_gap_q75,positive_gap_q90,positive_gap_max,positive_gap_q90_q10
20260614_quantile_signal_filter,q90,pred_q90,quantile,price_estimator/experiment/20260614_quantile_signal_filter/reports/predictions_validation.parquet,5184,0.01,0.8092206790123457,0.1669910061085271,0.14043744870513436,-0.0590945181376647,0.4673491063132718,0.5264436244509365,0.13345366083729343,0.30120923753424683,4310.0,0.8314043209876543,0.03194332769138938,0.08137140504004552,0.18474914639409856,0.21039853241937606,0.315684057702478,0.4281998121473401,0.7977790943732098,0.39625648445595074
20260614_asym_logcosh_wu10_upper_bound_mlp_asym_wu10p0_s0p08,selected_prediction,p_pred,mlp,price_estimator/experiment/20260614_asym_logcosh_wu10_upper_bound_mlp_asym_wu10p0_s0p08/reports/predictions_validation.parquet,7432,0.01,0.7962863293864371,0.19638744794222512,0.16713884353637695,-0.07156574487686157,0.5436587975025177,0.6152245423793792,0.1494286151170729,0.3104477739334106,6095.0,0.8201022604951561,0.03529389095306396,0.09632509112358092,0.22765061378479,0.25164974240550586,0.3847079360485077,0.496649227142334,0.8570227527618408,0.46135533618927005
20260614_quantile_signal_filter,q80,pred_q80,quantile,price_estimator/experiment/20260614_quantile_signal_filter/reports/predictions_validation.parquet,5184,0.01,0.7170138888888888,0.1245412932212163,0.09394635865329193,-0.0910815978492814,0.4273020904028367,0.5183836882521181,0.17427871951378165,0.34179217589776867,3861.0,0.7447916666666666,0.024808270265858967,0.06788600072240136,0.15701024224636906,0.1871884134747648,0.28157335657009186,0.3927226978875397,0.7744956406989243,0.36791442762168075
quantile_baseline,q80,pred_q80,quantile,price_estimator/data/predictions_validation.parquet,7432,0.01,0.7164962325080731,0.12410294617440228,0.09228305869403292,-0.09339858724652582,0.43438016375084304,0.5277787509973688,0.16944244706976236,0.6358163444930458,5542.0,0.7456942949407965,0.024962587024107984,0.06735416266879643,0.15542345347965356,0.18668301433764056,0.27998155257818635,0.3914983770730662,0.7820915480202557,0.3665357900489582
20260614_capped_quantile_signal_filter,q80,pred_q80,quantile,price_estimator/experiment/20260614_capped_quantile_signal_filter/reports/predictions_validation.parquet,5184,0.01,0.7133487654320988,0.12250317365396943,0.08952650040459348,-0.09020925350240382,0.42883081183313193,0.5190400653355357,0.17129210048104387,0.35402914121050394,3854.0,0.7434413580246914,0.024419987548102196,0.06538885735214492,0.15149589775138295,0.18440586271518802,0.27698907898635483,0.39005687084029667,0.7820915480202557,0.36563688329219446
quantile_baseline,q70,pred_q70,quantile,price_estimator/data/predictions_validation.parquet,7432,0.01,0.6255382131324004,0.09244090409880419,0.0599306717248667,-0.12808526913364213,0.4029310224934342,0.5310162916270763,0.20346801936734404,0.676683944831244,4858.0,0.653659849300323,0.02495499943529984,0.06444151900182023,0.1498711444438416,0.17872650210614152,0.26908604459700197,0.3719349790485921,0.7533330875687018,0.34697997961329224
20260614_capped_quantile_signal_filter,q70,pred_q70,quantile,price_estimator/experiment/20260614_capped_quantile_signal_filter/reports/predictions_validation.parquet,5184,0.01,0.6253858024691358,0.09237140298616307,0.0586958881801726,-0.11959480988454443,0.3965272278636426,0.516122037748187,0.20249153177691043,0.3659929247049223,3377.0,0.6514274691358025,0.025046279225092942,0.06387318591892677,0.1472219608294857,0.17772113228397324,0.2679922887027936,0.37017272684950236,0.7533330875687018,0.3451264476244094
20260614_quantile_signal_filter,q70,pred_q70,quantile,price_estimator/experiment/20260614_quantile_signal_filter/reports/predictions_validation.parquet,5184,0.01,0.6224922839506173,0.09053698193019481,0.05972748872088582,-0.128542503878985,0.39200871252956215,0.5205512164085472,0.21199883800494893,0.3773187684608661,3344.0,0.6450617283950617,0.026133332293048483,0.0668430844854782,0.15160911522692455,0.17943796712261811,0.27146538670487236,0.3696843774927939,0.766523033840411,0.34355104519974544
20260614_soft_logcosh_c50_scales_upper_bound_mlp_mean_gap_C50p0_s0p08,selected_prediction,p_pred,mlp,price_estimator/experiment/20260614_soft_logcosh_c50_scales_upper_bound_mlp_mean_gap_C50p0_s0p08/reports/predictions_validation.parquet,7432,0.01,0.5819429494079655,0.07565480533627625,0.04715016665590055,-0.15550024619698524,0.39237670230865473,0.54787694850564,0.240436902308464,0.68481369972229,4513.0,0.6072389666307858,0.0248575870990753,0.06777368903160094,0.15340364813804627,0.18008719575873267,0.26559937514825427,0.37739217019081117,0.7240022134780884,0.35253458309173585
20260614_quantile_signal_filter,q60,pred_q60,quantile,price_estimator/experiment/20260614_quantile_signal_filter/reports/predictions_validation.parquet,5184,0.01,0.5418595679012346,0.05806729973587881,0.0278401256858285,-0.16536242887035657,0.35867103735164824,0.5240334662220048,0.2504783566805864,0.40003399034006326,2922.0,0.5636574074074074,0.024803446780336774,0.062184617217038676,0.14112230436135104,0.17032328609181638,0.256997912533811,0.3483663577567219,0.7351814525584152,0.3235629109763851
20260614_soft_logcosh_c50_scales_upper_bound_mlp_mean_gap_C50p0_s0p05,selected_prediction,p_pred,mlp,price_estimator/experiment/20260614_soft_logcosh_c50_scales_upper_bound_mlp_mean_gap_C50p0_s0p05/reports/predictions_validation.parquet,7432,0.01,0.4966361679224973,0.036043313871379774,0.00852773904800419,-0.20946300524473185,0.3549697746630218,0.5644327799077536,0.30405614919421947,0.7547818338871002,3853.0,0.5184337997847147,0.025726754665374763,0.0669031834602356,0.14629626989364625,0.17117460211271102,0.2524275207519531,0.3525088720321656,0.7070066046714782,0.3267821173667908
20260614_quantile_signal_filter,q50,pred_q50,quantile,price_estimator/experiment/20260614_quantile_signal_filter/reports/predictions_validation.parquet,5184,0.01,0.45794753086419754,0.020609755793956266,-0.008381373936800302,-0.20483747356811757,0.3184224829712658,0.5232599565393834,0.29375770598498346,0.4298041131898484,2481.0,0.47858796296296297,0.022635414950114285,0.060942233417836056,0.13402187683069397,0.15988317531587226,0.24076530565001836,0.32079023999303435,0.7111765073788127,0.29815482504292007
20260614_bounded_mlp_signal_filter,selected_prediction,p_pred,unknown,price_estimator/experiment/20260614_bounded_mlp_signal_filter/reports/predictions_validation.parquet,5184,0.01,0.4342206790123457,0.0006651610064789573,-0.020631412546748037,-0.26713502549638846,0.3282214782077682,0.5953565037041566,0.3996924887472131,0.597570813153786,2365.0,0.45621141975308643,0.025016670791243378,0.061605320945219616,0.13033105363085976,0.16068429462556452,0.2302777436000476,0.33974003530638325,0.7155677344282223,0.3147233645151399
20260614_soft_logcosh_c50_scales_upper_bound_mlp_mean_gap_C50p0_s0p03,selected_prediction,p_pred,mlp,price_estimator/experiment/20260614_soft_logcosh_c50_scales_upper_bound_mlp_mean_gap_C50p0_s0p03/reports/predictions_validation.parquet,7432,0.01,0.4082346609257266,-0.015364646451842103,-0.03632043056219936,-0.2915360550284386,0.31755364471673964,0.6090896997451782,0.4211637987077235,0.6991880452632904,3151.0,0.4239773950484392,0.02412471771240232,0.061300552699362826,0.13825726985931397,0.161407204062923,0.2359915637969971,0.33609981417655943,0.623173189163208,0.3119750964641571
20260614_capped_quantile_signal_filter,selected_prediction,p_pred,quantile,price_estimator/experiment/20260614_capped_quantile_signal_filter/reports/predictions_validation.parquet,5184,0.01,0.40760030864197533,0.0015104494397189664,-0.030826652877309207,-0.21453983837288165,0.3018556727912425,0.5163955111641241,0.2983462737456577,0.4459929247049223,2241.0,0.4322916666666667,0.01956519535556367,0.0593929048170439,0.12776519594957159,0.1547737238310388,0.22686728226023495,0.3141996761906526,0.6733330875687018,0.2946344808350889
