bin_index,limit_price,empirical_gc,mean_h2_gc,upper_0.8,upper_0.9,upper_0.95
0,0.48,0.673469387755102,0.7340758442878723,0.7098922048187333,0.7293769261788017,0.7450215964457696
0,0.49,0.6836734693877551,0.7552146911621094,0.7195919038439986,0.7388493037504515,0.7542892008877362
0,0.5,0.7448979591836735,0.7816507816314697,0.7773249739118354,0.794979227666558,0.8089963970321276
0,0.51,0.7857142857142857,0.8047488331794739,0.81531275951254,0.8316410091067177,0.8445012993721136
0,0.52,0.8061224489795918,0.8285295367240906,0.8341296430766311,0.8497041888413913,0.8619127209391412
0,0.53,0.8163265306122449,0.8490714430809021,0.8434882856915153,0.8586605061692666,0.8705226037875372
0,0.54,0.8469387755102041,0.8661223649978638,0.8713389570726819,0.8851892158279665,0.8959194160174054
0,0.55,0.8571428571428571,0.889854371547699,0.8805381756258985,0.8939048204320146,0.9042232015117885
0,0.56,0.8775510204081632,0.9074550271034241,0.8987882130304263,0.9111122860404275,0.9205466862678426
0,0.57,0.9183673469387755,0.9202756881713867,0.9345321213134741,0.9443895833709584,0.9517524581932632
0,0.58,0.9591836734693877,0.9342209696769714,0.9686460049818211,0.9752299349946225,0.9798912444324113
0,0.59,0.9591836734693877,0.9495678544044495,0.9686460049818211,0.9752299349946225,0.9798912444324113
0,0.6,0.9693877551020408,0.9597691297531128,0.9767162994731423,0.9822625343280028,0.986083053360333
0,0.61,0.9693877551020408,0.9680681228637695,0.9767162994731423,0.9822625343280028,0.986083053360333
0,0.62,0.9795918367346939,0.9744665026664734,0.9844575809760863,0.9888169381115095,0.9916905766060132
0,0.63,0.9897959183673469,0.9797501564025879,0.9916653653539127,0.9946153648841087,0.996398717169247
0,0.64,1.0,0.9849189519882202,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.65,1.0,0.9887956976890564,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.66,1.0,0.9920448064804077,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.67,1.0,0.9940422773361206,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.68,1.0,0.9948832988739014,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.69,1.0,0.996082067489624,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.7,1.0,0.9972414374351501,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.71,1.0,0.9978118538856506,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.72,1.0,0.9981386065483093,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.73,1.0,0.9987244009971619,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.74,1.0,0.9989929795265198,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.75,1.0,0.9993177056312561,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.76,1.0,0.9994564652442932,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.77,1.0,0.9995928406715393,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.78,1.0,0.9997341632843018,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.79,1.0,0.9998306035995483,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.8,1.0,0.9998847842216492,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.81,1.0,0.9999253153800964,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.82,1.0,0.9999673962593079,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.83,1.0,0.999980628490448,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.84,1.0,0.9999887347221375,0.9977485630290066,0.9989363184777597,0.9994820201132021
0,0.85,1.0,0.9999921917915344,0.9977485630290066,0.9989363184777597,0.9994820201132021
1,0.01,0.0,0.008993743918836117,0.01612551760757035,0.02299004270077471,0.029806673773350886
1,0.02,0.0,0.018637698143720627,0.01612551760757035,0.02299004270077471,0.029806673773350886
1,0.03,0.0,0.028049875050783157,0.01612551760757035,0.02299004270077471,0.029806673773350886
1,0.04,0.01020408163265306,0.034273743629455566,0.029942423559697215,0.03872111896922205,0.047021239728140644
1,0.05,0.01020408163265306,0.04428580775856972,0.029942423559697215,0.03872111896922205,0.047021239728140644
1,0.06,0.01020408163265306,0.05614957958459854,0.029942423559697215,0.03872111896922205,0.047021239728140644
1,0.07,0.02040816326530612,0.062434177845716476,0.04272704329366381,0.05286513659686045,0.0622280956867187
1,0.08,0.02040816326530612,0.07065854966640472,0.04272704329366381,0.05286513659686045,0.0622280956867187
1,0.09,0.030612244897959183,0.07990862429141998,0.05500193021831546,0.06623584074530633,0.0764570956032081
1,0.1,0.05102040816326531,0.09479875862598419,0.0786863305246063,0.09166826886340322,0.10325709754800565
1,0.11,0.061224489795918366,0.10866769403219223,0.09024421744536533,0.10395467590566797,0.1161118434387964
1,0.12,0.07142857142857142,0.12088747322559357,0.10166567714182573,0.11603482550523113,0.12870460304827244
1,0.13,0.09183673469387756,0.1309157907962799,0.12418870556816415,0.13971137752690063,0.15327514365732645
1,0.14,0.10204081632653061,0.14492253959178925,0.1353206398785102,0.15135364543579527,0.16531105635555593
1,0.15,0.10204081632653061,0.15729787945747375,0.1353206398785102,0.15135364543579527,0.16531105635555593
1,0.16,0.10204081632653061,0.16876037418842316,0.1353206398785102,0.15135364543579527,0.16531105635555593
1,0.17,0.12244897959183673,0.18101388216018677,0.15737654859903333,0.17432350931216048,0.1889822835344356
1,0.18,0.14285714285714285,0.19587792456150055,0.1792010954316656,0.19694319219570927,0.2122074714860211
1,0.19,0.15306122448979592,0.20586428046226501,0.19003940712748243,0.20814105921353937,0.22367737538144403
