reversal_risk_threshold,base_band,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy
0.25,0.1,7468.0,0.7478575254418853,0.689374185136897,0.6841477949940405,0.6867609900654688,0.6491697911087306,0.687018800358102,0.5493285586392122,0.45067144136078785,0.25,0.1,5585.0,3068.0,2517.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.27972683449384034,0.4838030027542434,0.5781833368155689,3068.0,2517.0,5585.0,0.7478575254418853,0.687018800358102
0.25,0.15,7468.0,0.6009641135511515,0.7123179850452578,0.7082691319979456,0.7102935585216017,0.6491697911087306,0.7105614973262032,0.5661764705882353,0.4338235294117647,0.25,0.15,4488.0,2541.0,1947.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2530798071772898,0.41706372796843755,0.6068132762589278,2541.0,1947.0,4488.0,0.6009641135511515,0.7105614973262032
0.25,0.2,7468.0,0.4619710765934655,0.74269889224572,0.73224043715847,0.7374696647020951,0.6491697911087306,0.7382608695652174,0.5756521739130435,0.42434782608695654,0.25,0.2,3450.0,1986.0,1464.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2201392608462775,0.3477296476770337,0.6330759034120085,1986.0,1464.0,3450.0,0.4619710765934655,0.7382608695652174
0.25,0.5,7468.0,0.11006963042313872,0.7834008097165992,0.7835365853658537,0.7834686975412264,0.6491697911087306,0.7834549878345499,0.6009732360097324,0.39902676399026765,0.25,0.5,822.0,494.0,328.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.06239957150508838,0.15438597559048287,0.4041790147481181,494.0,328.0,822.0,0.11006963042313872,0.7834549878345499
0.3,0.03,7468.0,0.904392072844135,0.6626278944534195,0.6648026315789474,0.6637152630161834,0.6491697911087306,0.6636067515546343,0.5498963577139473,0.4501036422860527,0.3,0.03,6754.0,3714.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2959292983395823,0.5515717426158417,0.536520048935304,3714.0,3040.0,6754.0,0.904392072844135,0.6636067515546343
0.3,0.05,7468.0,0.8833690412426353,0.6674163621028957,0.6648026315789474,0.6661094968409216,0.6491697911087306,0.6662119145065939,0.5391844777929362,0.46081552220706384,0.3,0.05,6597.0,3557.0,3040.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2936529191215854,0.5430083434538782,0.5407889633035217,3557.0,3040.0,6597.0,0.8833690412426353,0.6662119145065939
0.3,0.07,7468.0,0.8319496518478843,0.674673784104389,0.6719464977120733,0.6733101409082312,0.6491697911087306,0.6734266859810075,0.5427329792370835,0.4572670207629165,0.3,0.07,6213.0,3372.0,2841.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.28856454204606313,0.5212413595455666,0.553610216767223,3372.0,2841.0,6213.0,0.8319496518478843,0.6734266859810075
0.3,0.1,7468.0,0.7477236207820032,0.6892729051190088,0.6841477949940405,0.6867103500565247,0.6491697911087306,0.6869627507163324,0.5492478510028653,0.45075214899713467,0.3,0.1,5584.0,3067.0,2517.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2795929298339582,0.4838030027542434,0.5779065616423686,3067.0,2517.0,5584.0,0.7477236207820032,0.6869627507163324
0.3,0.15,7468.0,0.6008302088912694,0.7122047244094488,0.7082691319979456,0.7102369282036972,0.6491697911087306,0.7104969913082237,0.5660797860485848,0.4339202139514152,0.3,0.15,4487.0,2540.0,1947.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.25294590251740756,0.4170637279684376,0.6064922110333937,2540.0,1947.0,4487.0,0.6008302088912694,0.7104969913082237
0.3,0.2,7468.0,0.46264059989287626,0.7424547283702213,0.7314246762099523,0.7369397022900868,0.6491697911087306,0.7377713458755427,0.575397973950796,0.42460202604920405,0.3,0.2,3455.0,1988.0,1467.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.2200053561863953,0.3483067927176277,0.6316424508113272,1988.0,1467.0,3455.0,0.46264059989287626,0.7377713458755427
