cutoff,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.105,7468.0,0.7048741296197107,0.6915983606557377,0.6909246575342466,0.6912615090949921,0.611140867702196,0.6912993920972644,0.5562310030395137,0.44376899696048633,0.895,0.105,5264.0,2928.0,2336.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2696839850026781,0.4664708697319869,0.5781368194709057,2928.0,2336.0,5264.0,0.7048741296197107,0.6912993920972644,4825.0,0.7550259067357513,0.9766675816634641,3643.0,2643.0,0.6133181990162694,0.0499691548426897,1621.0
0.11,7468.0,0.7068826995179432,0.6906058543226685,0.6907304570696283,0.6906681556961485,0.611140867702196,0.6906611100587232,0.5565448001515438,0.44345519984845616,0.89,0.11,5279.0,2938.0,2341.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2695500803427959,0.4676176959735096,0.5764325915460347,2938.0,2341.0,5279.0,0.7068826995179432,0.6906611100587232,4825.0,0.7566839378238343,0.9745275267050123,3651.0,2643.0,0.6159667045024593,0.05405405405405406,1628.0
0.115,7468.0,0.7094268880557043,0.6902985074626866,0.6906382978723404,0.6904684026675135,0.611140867702196,0.6904492261230654,0.5564363910909778,0.4435636089090223,0.885,0.115,5298.0,2948.0,2350.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2702196036422068,0.46861886667818736,0.5766298005832821,2948.0,2350.0,5298.0,0.7094268880557043,0.6904492261230654,4825.0,0.7581347150259067,0.9726626571897211,3658.0,2643.0,0.620506999621642,0.06097560975609756,1640.0
0.12,7468.0,0.712372790573112,0.6898648648648649,0.690677966101695,0.6902714154832799,0.611140867702196,0.6902255639097744,0.556390977443609,0.44360902255639095,0.88,0.12,5320.0,2960.0,2360.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2710230316014997,0.4697604490437718,0.5769388039226905,2960.0,2360.0,5320.0,0.712372790573112,0.6902255639097744,4825.0,0.7597927461139896,0.9705400981996727,3666.0,2643.0,0.6258040105940219,0.06892382103990327,1654.0
0.125,7468.0,0.7146491697911087,0.6893530997304582,0.6897425073870832,0.6895478035587708,0.611140867702196,0.6895259509087502,0.556117669102492,0.44388233089750795,0.875,0.125,5337.0,2968.0,2369.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.27088912694161754,0.47104142219633466,0.5750855745945593,2968.0,2369.0,5337.0,0.7146491697911087,0.6895259509087502,4825.0,0.7616580310880829,0.9681632653061224,3675.0,2643.0,0.6288308740068105,0.07340553549939831,1662.0
0.13,7468.0,0.7167916443492234,0.6887172599059772,0.6884210526315789,0.6885691562687781,0.611140867702196,0.688585839716047,0.5563235568839903,0.44367644311600973,0.87,0.13,5353.0,2978.0,2375.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2703535083020889,0.47246065235484663,0.5722243893847841,2978.0,2375.0,5353.0,0.7167916443492234,0.688585839716047,4825.0,0.7637305699481866,0.9655359565807327,3685.0,2643.0,0.6311010215664018,0.07673860911270983,1668.0
0.135,7468.0,0.7185324049276914,0.6886729222520107,0.6872376154492024,0.6879552688506065,0.611140867702196,0.6880357808423406,0.5560939247111443,0.4439060752888558,0.865,0.135,5366.0,2984.0,2382.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2702196036422067,0.47345158215253896,0.5707439024992972,2984.0,2382.0,5366.0,0.7185324049276914,0.6880357808423406,4825.0,0.7651813471502591,0.9637053087757314,3692.0,2643.0,0.6333711691259932,0.08004778972520908,1674.0
0.14,7468.0,0.7205409748259239,0.6882726361510191,0.6867671691792295,0.6875199026651243,0.611140867702196,0.6876045344731463,0.556216316669764,0.443783683330236,0.86,0.14,5381.0,2993.0,2388.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.270353508302089,0.4744404422705947,0.5698365573731892,2993.0,2388.0,5381.0,0.7205409748259239,0.6876045344731463,4825.0,0.7666321243523316,0.9618815896188159,3699.0,2643.0,0.6363980325387817,0.08442330558858502,1682.0
0.145,7468.0,0.7232190680235672,0.6877496671105193,0.685857321652065,0.6868034943812922,0.611140867702196,0.6869098315126828,0.556193297537493,0.4438067024625069,0.855,0.145,5401.0,3004.0,2397.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2703535083020889,0.4758495348959996,0.5681491489976481,3004.0,2397.0,5401.0,0.7232190680235672,0.6869098315126828,4825.0,0.7687046632124352,0.9592882178484767,3709.0,2643.0,0.6401816118047673,0.08983451536643026,1692.0
0.15,7468.0,0.725495447241564,0.6871675531914894,0.6838174273858921,0.6854924902886907,0.611140867702196,0.6856773717238833,0.5551864156515319,0.44481358434846807,0.85,0.15,5418.0,3008.0,2410.0,0.656613228496069,0.25961074659873923,0.7545257272527273,0.2694161756829137,0.4775349576516102,0.5641810539019609,3008.0,2410.0,5418.0,0.725495447241564,0.6856773717238833,4825.0,0.7711917098445595,0.9561945713517872,3721.0,2643.0,0.6420734014377601,0.09251620506776664,1697.0
