variant,t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count,coverage_constraint_satisfied,constraint_satisfied,fallback_reason,objective,hard_constraint
experiment_a_expert_only,0.495,0.375,7468.0,0.7185324049276914,0.6521310667652132,0.7383320581484315,0.6952315624568224,0.6497054097482592,0.6731270965337309,0.756429370108088,0.24357062989191203,0.495,0.375,5366.0,4059.0,1307.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.24879485806106055,0.48463261697219207,0.513367960281832,4059.0,1307.0,5366.0,0.7185324049276914,0.6731270965337309,4825.0,0.7498445595854922,0.9881149806522941,3618.0,2643.0,0.6613696556942867,0.02116704805491991,1748.0,True,,,,
experiment_a_expert_only,0.495,0.38,7468.0,0.724692019282271,0.6521310667652132,0.7354028085735402,0.6937669376693767,0.6497054097482592,0.6729490022172949,0.75,0.25,0.495,0.38,5412.0,4059.0,1353.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.25066952329941083,0.48683801001095844,0.5148930817743019,4059.0,1353.0,5412.0,0.724692019282271,0.6729490022172949,4825.0,0.7560621761658031,0.9882127192982456,3648.0,2643.0,0.6674233825198638,0.020975056689342405,1764.0,True,,,,
experiment_a_expert_only,0.495,0.385,7468.0,0.7305838243170862,0.6521310667652132,0.7358625626342162,0.6939968146997146,0.6497054097482592,0.6735703812316716,0.7439516129032258,0.2560483870967742,0.495,0.385,5456.0,4059.0,1397.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.25361542581681845,0.4883484404092368,0.5193329287675994,4059.0,1397.0,5456.0,0.7305838243170862,0.6735703812316716,4825.0,0.7629015544041451,0.9883183917413746,3681.0,2643.0,0.671585319712448,0.020845070422535212,1775.0,True,,,,
experiment_a_expert_only,0.495,0.39,7468.0,0.736877343331548,0.6521310667652132,0.7333795013850416,0.6927552840751274,0.6497054097482592,0.6734508449936398,0.7375976739960022,0.2624023260039978,0.495,0.39,5503.0,4059.0,1444.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2556239957150509,0.49053712785909337,0.5211103934796936,4059.0,1444.0,5503.0,0.736877343331548,0.6734508449936398,4825.0,0.7693264248704663,0.9884159482758621,3712.0,2643.0,0.677639046538025,0.02065884980457845,1791.0,True,,,,
experiment_a_expert_only,0.495,0.395,7468.0,0.739421531869309,0.6521310667652132,0.7313738892686261,0.6917524780169196,0.6497054097482592,0.6731256791017747,0.7350597609561753,0.2649402390438247,0.495,0.395,5522.0,4059.0,1463.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2560257096946973,0.4916278176500043,0.5207714057323035,4059.0,1463.0,5522.0,0.739421531869309,0.6731256791017747,4825.0,0.7716062176165803,0.9884501745903841,3723.0,2643.0,0.6806659099508134,0.02056698165647582,1799.0,True,,,,
experiment_a_expert_only,0.495,0.4,7468.0,0.7429030530262453,0.6521310667652132,0.7300201477501679,0.6910756072576905,0.6497054097482592,0.6730353280461427,0.7316149963950973,0.2683850036049027,0.495,0.4,5548.0,4059.0,1489.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2570969469737547,0.4928519585293796,0.5216514665801593,4059.0,1489.0,5548.0,0.7429030530262453,0.6730353280461427,4825.0,0.7751295336787565,0.9885026737967915,3740.0,2643.0,0.6840711312902006,0.020464601769911505,1808.0,True,,,,
experiment_a_expert_only,0.495,0.405,7468.0,0.7466523835029459,0.6521310667652132,0.7317073170731707,0.6919191919191919,0.6497054097482592,0.6737804878048781,0.7279411764705882,0.27205882352941174,0.495,0.405,5576.0,4059.0,1517.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.25950723085163374,0.49353072480409577,0.5258177815669808,4059.0,1517.0,5576.0,0.7466523835029459,0.6737804878048781,4825.0,0.7798963730569948,0.9885729471166622,3763.0,2643.0,0.6859629209231933,0.02040816326530612,1813.0,True,,,,
experiment_a_expert_only,0.495,0.41,7468.0,0.7546866630958757,0.6521310667652132,0.7235256816740647,0.6878283742196389,0.6497054097482592,0.6721078779276083,0.7201916252661462,0.2798083747338538,0.495,0.41,5636.0,4059.0,1577.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.259775040171398,0.4974493054193953,0.5222140976805343,4059.0,1577.0,5636.0,0.7546866630958757,0.6721078779276083,4825.0,0.7863212435233161,0.9886663152345809,3794.0,2643.0,0.6969353007945517,0.02008686210640608,1842.0,True,,,,
experiment_a_expert_only,0.495,0.415,7468.0,0.7660685591858597,0.6521310667652132,0.717208182912154,0.6846696248386837,0.6497054097482592,0.6710365320748121,0.7094913476664919,0.29050865233350814,0.495,0.415,5721.0,4059.0,1662.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2620514193893947,0.5020045516708315,0.5220100465567571,4059.0,1662.0,5721.0,0.7660685591858597,0.6710365320748121,4825.0,0.7968911917098446,0.9888166449934981,3845.0,2643.0,0.7097994702989028,0.019722814498933903,1876.0,True,,,,
experiment_a_expert_only,0.495,0.42,7468.0,0.7793251205141939,0.6521310667652132,0.7143668370244179,0.6832489518948155,0.6497054097482592,0.6709621993127147,0.6974226804123711,0.30257731958762885,0.495,0.42,5820.0,4059.0,1761.0,0.7052603944091387,0.21823103876727515,0.625350147103349,0.2664702731655061,0.5063866345731727,0.5262190092953594,4059.0,1761.0,5820.0,0.7793251205141939,0.6709621993127147,4825.0,0.8105699481865285,0.9890053694707236,3911.0,2643.0,0.7222852818766553,0.019381875327396544,1909.0,True,,,,
