t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.63,0.43,7468.0,0.6973754686663096,0.4593235831809872,0.44735099337748346,0.45333728827923536,0.4528655597214783,0.4523809523809524,0.4201228878648233,0.5798771121351767,0.63,0.43,5208.0,2188.0,3020.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.0664167113015533,0.6179774186682969,-0.10747433368144292,2188.0,3020.0,5208.0,0.6973754686663096,0.4523809523809524,4825.0,0.656580310880829,0.11300505050505051,3168.0,2643.0,0.771850170261067,0.9794117647058823,2040.0
0.63,0.435,7468.0,0.7058114622388859,0.4593235831809872,0.44534544275056764,0.4523345129657774,0.4528655597214783,0.45114778979320813,0.4151014987668374,0.5848985012331626,0.63,0.435,5271.0,2188.0,3083.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.06896089983931439,0.6224035515958277,-0.11079772868021126,2188.0,3083.0,5271.0,0.7058114622388859,0.45114778979320813,4825.0,0.6661139896373057,0.1135656502800249,3214.0,2643.0,0.7782822550132426,0.9786096256684492,2057.0
0.63,0.44,7468.0,0.712372790573112,0.4593235831809872,0.4444444444444444,0.4518840138127158,0.4528655597214783,0.4505639097744361,0.4112781954887218,0.5887218045112782,0.63,0.44,5320.0,2188.0,3132.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.07043385109801818,0.6256223468160046,-0.11258205762066995,2188.0,3132.0,5320.0,0.712372790573112,0.4505639097744361,4825.0,0.6729533678756476,0.11487526947951955,3247.0,2643.0,0.7843359818388195,0.9763627592860589,2073.0
0.63,0.445,7468.0,0.7205409748259239,0.4593235831809872,0.4431569057312872,0.4512402444561372,0.4528655597214783,0.44973053335811186,0.4066158706560119,0.5933841293439881,0.63,0.445,5381.0,2188.0,3193.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.07244242099625069,0.6296758673405606,-0.11504716117232132,2188.0,3193.0,5381.0,0.7205409748259239,0.44973053335811186,4825.0,0.6829015544041451,0.1165402124430956,3295.0,2643.0,0.7892546348846008,0.9760306807286673,2086.0
0.63,0.45,7468.0,0.7285752544188537,0.4593235831809872,0.4420534890869966,0.4506885361339919,0.4528655597214783,0.4489983458922992,0.40213196103657417,0.5978680389634259,0.63,0.45,5441.0,2188.0,3253.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.07431708623460097,0.6335977985494641,-0.11729378859071136,2188.0,3253.0,5441.0,0.7285752544188537,0.4489983458922992,4825.0,0.692020725388601,0.11799940101826895,3339.0,2643.0,0.7953083617101778,0.9747859181731684,2102.0
0.63,0.455,7468.0,0.7363417246920193,0.4593235831809872,0.44155844155844154,0.45044101236971434,0.4528655597214783,0.4486270230951082,0.3978905255501,0.6021094744498999,0.63,0.455,5499.0,2188.0,3311.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.0756561328334226,0.6371804522760574,-0.11873580327703573,2188.0,3311.0,5499.0,0.7363417246920193,0.4486270230951082,4825.0,0.701139896373057,0.12030741945019213,3383.0,2643.0,0.8006053726825577,0.9735349716446124,2116.0
0.63,0.46,7468.0,0.7427691483663631,0.4593235831809872,0.4420958618636499,0.45070972252231856,0.4528655597214783,0.4488912925905895,0.3944474490715702,0.6055525509284297,0.63,0.46,5547.0,2188.0,3359.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.07592394215318692,0.6398019578430305,-0.11866788030650909,2188.0,3359.0,5547.0,0.7427691483663631,0.4488912925905895,4825.0,0.7077720207253886,0.12152269399707175,3415.0,2643.0,0.8066590995081347,0.973264540337711,2132.0
0.63,0.465,7468.0,0.7487948580610605,0.4593235831809872,0.4412455934195065,0.45028458830024687,0.4528655597214783,0.44831902718168815,0.39127324749642345,0.6087267525035766,0.63,0.465,5592.0,2188.0,3404.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.0773968934118907,0.6427253501585849,-0.12041985490815622,2188.0,3404.0,5592.0,0.7487948580610605,0.44831902718168815,4825.0,0.7141968911917098,0.122460824143935,3446.0,2643.0,0.8119561104805145,0.9715750232991612,2146.0
0.63,0.47,7468.0,0.7552222817354044,0.4593235831809872,0.44090382387022015,0.45011370352560365,0.4528655597214783,0.4480496453900709,0.3879432624113475,0.6120567375886525,0.63,0.47,5640.0,2188.0,3452.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.07846813069094806,0.6456355056943324,-0.12153626930192059,2188.0,3452.0,5640.0,0.7552222817354044,0.4480496453900709,4825.0,0.7216580310880829,0.12492820218265364,3482.0,2643.0,0.8164964055996973,0.969416126042632,2158.0
0.63,0.475,7468.0,0.7600428494911623,0.4593235831809872,0.44036697247706424,0.4498452778290257,0.4528655597214783,0.4476744186046512,0.3854827343199436,0.6145172656800564,0.63,0.475,5676.0,2188.0,3488.0,0.4676885313133263,0.28206758628642814,0.7607021549616995,-0.07953936797000533,0.6479128866835293,-0.1227624416874055,2188.0,3488.0,5676.0,0.7600428494911623,0.4476744186046512,4825.0,0.7270466321243523,0.1259977194982896,3508.0,2643.0,0.820279984865683,0.9681734317343174,2168.0
