keep_threshold,reverse_threshold,keep_base_reversal,use_abstains,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss,utility,downside_risk,selection_score,up_signal_count,down_signal_count,total_signal_count,signal_coverage,overall_signal_accuracy,continuation_sample_count,continuation_coverage,continuation_accepted_accuracy,continuation_accepted_count,reversal_sample_count,reversal_coverage,reversal_accepted_accuracy,reversal_accepted_count
0.1,0.9,True,True,7468.0,0.1829137653990359,0.7133507853403142,0.6760797342192691,0.6947152597797916,0.6491697911087306,0.6969253294289898,0.5592972181551976,0.4407027818448023,0.9,0.1,1366.0,764.0,602.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.07204070701660419,0.2354496319623708,0.30597077776752535,764.0,602.0,1366.0,0.1829137653990359,0.6969253294289898,4825.0,0.1950259067357513,0.7810839532412327,941.0,2643.0,0.16080211880438894,0.5105882352941177,425.0
0.12,0.35,False,False,7468.0,0.605382967327263,0.5090739879013495,0.4772344013490725,0.49315419462521104,0.6491697911087306,0.49236894492368943,0.47533731475337315,0.5246626852466268,0.35,0.12,4521.0,2149.0,2372.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.00923942153186933,0.5543565589307717,-0.016666929222755263,2149.0,2372.0,4521.0,0.605382967327263,0.49236894492368943,4825.0,0.6107772020725388,0.30912792670512385,2947.0,2643.0,0.595535376466137,0.8354510800508259,1574.0
0.12,0.35,False,True,7468.0,0.674076057846813,0.5087862689006948,0.4793196752995748,0.49405297210013477,0.6491697911087306,0.49364322606277317,0.48609455701231624,0.5139054429876837,0.35,0.12,5034.0,2447.0,2587.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.008569898232458456,0.5842285323737927,-0.014668743064700899,2447.0,2587.0,5034.0,0.674076057846813,0.49364322606277317,4825.0,0.6638341968911917,0.28910396503278174,3203.0,2643.0,0.6927733636019675,0.8514472965592572,1831.0
0.12,0.35,True,False,7468.0,0.6367166577396893,0.5113935144609991,0.48281439547108773,0.4971039549660434,0.6491697911087306,0.4965299684542587,0.47991587802313357,0.5200841219768665,0.35,0.12,4755.0,2282.0,2473.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.004418853776111409,0.5661870324882939,-0.007804583154600543,2282.0,2473.0,4755.0,0.6367166577396893,0.4965299684542587,4825.0,0.6312953367875648,0.29908076165462905,3046.0,2643.0,0.6466136965569429,0.8484493856056173,1709.0
0.12,0.35,True,True,7468.0,0.7054097482592394,0.5108527131782946,0.484375,0.4976138565891473,0.6491697911087306,0.4973424449506454,0.489749430523918,0.510250569476082,0.35,0.12,5268.0,2580.0,2688.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,-0.0037493304767006116,0.5954658171280447,-0.006296466344254287,2580.0,2688.0,5268.0,0.7054097482592394,0.4973424449506454,4825.0,0.6843523316062177,0.28043609933373714,3302.0,2643.0,0.7438516836927733,0.861648016276704,1966.0
0.12,0.4,False,False,7468.0,0.5582485270487413,0.521870286576169,0.48807339449541287,0.5049718405357909,0.6491697911087306,0.5041976493163828,0.47709282801631087,0.5229071719836891,0.4,0.12,4169.0,1989.0,2180.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.004686663095875684,0.5260997357692102,0.008908316764355176,1989.0,2180.0,4169.0,0.5582485270487413,0.5041976493163828,4825.0,0.5635233160621762,0.3350496506068408,2719.0,2643.0,0.5486189935679152,0.8213793103448276,1450.0
0.12,0.4,False,True,7468.0,0.6229244777718265,0.5204755614266843,0.4888702225955481,0.5046728920111162,0.6491697911087306,0.5042992261392949,0.488177128116939,0.5118228718830611,0.4,0.12,4652.0,2271.0,2381.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.00535618639528652,0.5556834941657616,0.009638915770438124,2271.0,2381.0,4652.0,0.6229244777718265,0.5042992261392949,4825.0,0.6134715025906736,0.31283783783783786,2960.0,2643.0,0.6401816118047673,0.8392434988179669,1692.0
0.12,0.4,True,False,7468.0,0.5895822174611677,0.5235626767200754,0.49364313897413414,0.5086029078471048,0.6491697911087306,0.5080626845332727,0.4819441290029525,0.5180558709970474,0.4,0.12,4403.0,2122.0,2281.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.009507230851633611,0.5385512912478876,0.01765334334192055,2122.0,2281.0,4403.0,0.5895822174611677,0.5080626845332727,4825.0,0.584041450777202,0.32327892122072394,2818.0,2643.0,0.5996973136587211,0.8365930599369085,1585.0
0.12,0.4,True,True,7468.0,0.6542581681842529,0.5220465890183028,0.4939564867042707,0.5080015378612868,0.6491697911087306,0.5077773229635694,0.4920180106426525,0.5079819893573475,0.4,0.12,4886.0,2404.0,2482.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.010176754151044437,0.5674863055762704,0.01793303917829375,2404.0,2482.0,4886.0,0.6542581681842529,0.5077773229635694,4825.0,0.6339896373056995,0.3027133050016345,3059.0,2643.0,0.6912599318955732,0.8511220580186097,1827.0
0.12,0.45,False,False,7468.0,0.5117836100696305,0.5333698030634574,0.5015045135406219,0.5174371583020396,0.6491697911087306,0.5167451596023025,0.478283621140764,0.521716378859236,0.45,0.12,3822.0,1828.0,1994.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.017139796464917017,0.4973146959444862,0.03446468926956923,1828.0,1994.0,3822.0,0.5117836100696305,0.5167451596023025,4825.0,0.5179274611398964,0.3645458183273309,2499.0,2643.0,0.5005675368898979,0.8042328042328042,1323.0
0.12,0.45,False,True,7468.0,0.5728441349758971,0.5303392259913999,0.5011441647597255,0.5157416953755627,0.6491697911087306,0.5154277699859747,0.489247311827957,0.510752688172043,0.45,0.12,4278.0,2093.0,2185.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.0176754151044456,0.5268627524656927,0.03354842418015982,2093.0,2185.0,4278.0,0.5728441349758971,0.5154277699859747,4825.0,0.565181347150259,0.33956729006233954,2727.0,2643.0,0.58683314415437,0.8246292714377821,1551.0
0.12,0.45,True,False,7468.0,0.5431173004820568,0.5344212136664966,0.5069212410501194,0.5206712273583081,0.6491697911087306,0.5202169625246549,0.4834812623274162,0.5165187376725838,0.45,0.12,4056.0,1961.0,2095.0,0.7063832148945653,0.21882884066514852,0.6269735220696954,0.02196036422067493,0.5104688708733285,0.043019987062295005,1961.0,2095.0,4056.0,0.5431173004820568,0.5202169625246549,4825.0,0.5384455958549222,0.3506543494996151,2598.0,2643.0,0.5516458569807038,0.8223593964334706,1458.0
