bin_index,limit_price,gc
1,0.31,0.3635640413683373
1,0.32,0.3786793953858393
1,0.33,0.3937947494033413
1,0.34,0.4200477326968974
1,0.35,0.4383452665075577
1,0.36,0.4606205250596659
1,0.37,0.4884645982498011
1,0.38,0.5091487669053302
1,0.39,0.5330151153540175
1,0.4,0.5632458233890215
1,0.41,0.594272076372315
1,0.42,0.6189339697692919
1,0.43,0.6467780429594272
1,0.44,0.6714399363564041
1,0.45,0.6984884645982498
1,0.46,0.7295147175815434
1,0.47,0.7629276054097056
1,0.48,0.7915672235481305
1,0.49,0.8186157517899761
1,0.5,0.8464598249801114
1,0.51,0.8719172633253779
1,0.52,0.888623707239459
1,0.53,0.9061256961018298
1,0.54,0.9260143198090692
1,0.55,0.94351630867144
1,0.56,0.954653937947494
1,0.57,0.9610182975338106
1,0.58,0.9689737470167065
1,0.59,0.9761336515513126
1,0.6,0.9832935560859188
1,0.61,0.984884645982498
1,0.62,0.9856801909307876
1,0.63,0.9888623707239459
1,0.64,0.9912490055688147
1,0.65,0.9936356404136834
1,0.66,0.9936356404136834
1,0.67,0.9952267303102625
1,0.68,0.9960222752585521
1,0.69,0.9968178202068417
1,0.7,0.9968178202068417
1,0.71,0.9968178202068417
1,0.72,0.9968178202068417
1,0.73,0.9976133651551312
1,0.74,0.9976133651551312
1,0.75,0.9976133651551312
1,0.76,0.9976133651551312
1,0.77,0.9984089101034208
1,0.78,0.9992044550517104
1,0.79,0.9992044550517104
1,0.8,0.9992044550517104
1,0.81,0.9992044550517104
1,0.82,0.9992044550517104
1,0.83,0.9992044550517104
1,0.84,0.9992044550517104
1,0.85,0.9992044550517104
2,0.01,0.005568814638027049
2,0.02,0.015910898965791568
2,0.03,0.020684168655529037
2,0.04,0.026252983293556086
2,0.05,0.03739061256961018
2,0.06,0.05250596658711217
2,0.07,0.06284805091487669
2,0.08,0.07239459029435164
2,0.09,0.07796340493237867
2,0.1,0.08989657915672236
2,0.11,0.10023866348448687
2,0.12,0.10660302307080351
2,0.13,0.12012728719172633
2,0.14,0.1328560063643596
2,0.15,0.14399363564041368
2,0.16,0.15035799522673032
2,0.17,0.162291169451074
2,0.18,0.17740652346857597
2,0.19,0.18456642800318218
2,0.2,0.20047732696897375
2,0.21,0.2171837708830549
2,0.22,0.2243436754176611
2,0.23,0.2354813046937152
2,0.24,0.2394590294351631
2,0.25,0.25934765314240255
2,0.26,0.2728719172633254
2,0.27,0.2911694510739857
2,0.28,0.3031026252983294
2,0.29,0.315035799522673
2,0.3,0.3420843277645187
2,0.31,0.3635640413683373
2,0.32,0.3786793953858393
2,0.33,0.3937947494033413
2,0.34,0.4200477326968974
2,0.35,0.4383452665075577
2,0.36,0.4606205250596659
2,0.37,0.4884645982498011
2,0.38,0.5091487669053302
2,0.39,0.5330151153540175
2,0.4,0.5632458233890215
2,0.41,0.594272076372315
2,0.42,0.6189339697692919
2,0.43,0.6467780429594272
2,0.44,0.6714399363564041
2,0.45,0.6984884645982498
2,0.46,0.7295147175815434
2,0.47,0.7629276054097056
2,0.48,0.7915672235481305
2,0.49,0.8186157517899761
2,0.5,0.8464598249801114
2,0.51,0.8719172633253779
2,0.52,0.888623707239459
2,0.53,0.9061256961018298
2,0.54,0.9260143198090692
2,0.55,0.94351630867144
2,0.56,0.954653937947494
2,0.57,0.9610182975338106
2,0.58,0.9689737470167065
2,0.59,0.9761336515513126
2,0.6,0.9832935560859188
2,0.61,0.984884645982498
2,0.62,0.9856801909307876
2,0.63,0.9888623707239459
2,0.64,0.9912490055688147
2,0.65,0.9936356404136834
2,0.66,0.9936356404136834
2,0.67,0.9952267303102625
2,0.68,0.9960222752585521
2,0.69,0.9968178202068417
2,0.7,0.9968178202068417
2,0.71,0.9968178202068417
2,0.72,0.9968178202068417
2,0.73,0.9976133651551312
2,0.74,0.9976133651551312
2,0.75,0.9976133651551312
2,0.76,0.9976133651551312
2,0.77,0.9984089101034208
2,0.78,0.9992044550517104
2,0.79,0.9992044550517104
2,0.8,0.9992044550517104
2,0.81,0.9992044550517104
2,0.82,0.9992044550517104
2,0.83,0.9992044550517104
2,0.84,0.9992044550517104
2,0.85,0.9992044550517104
3,0.01,0.005568814638027049
3,0.02,0.015910898965791568
3,0.03,0.020684168655529037
3,0.04,0.026252983293556086
3,0.05,0.03739061256961018
3,0.06,0.05250596658711217
3,0.07,0.06284805091487669
3,0.08,0.07239459029435164
3,0.09,0.07796340493237867
3,0.1,0.08989657915672236
3,0.11,0.10023866348448687
3,0.12,0.10660302307080351
3,0.13,0.12012728719172633
3,0.14,0.1328560063643596
3,0.15,0.14399363564041368
3,0.16,0.15035799522673032
3,0.17,0.162291169451074
3,0.18,0.17740652346857597
3,0.19,0.18456642800318218
3,0.2,0.20047732696897375
3,0.21,0.2171837708830549
3,0.22,0.2243436754176611
3,0.23,0.2354813046937152
3,0.24,0.2394590294351631
3,0.25,0.25934765314240255
3,0.26,0.2728719172633254
3,0.27,0.2911694510739857
3,0.28,0.3031026252983294
3,0.29,0.315035799522673
3,0.3,0.3420843277645187
3,0.31,0.3635640413683373
3,0.32,0.3786793953858393
3,0.33,0.3937947494033413
3,0.34,0.4200477326968974
3,0.35,0.4383452665075577
3,0.36,0.4606205250596659
3,0.37,0.4884645982498011
3,0.38,0.5091487669053302
3,0.39,0.5330151153540175
3,0.4,0.5632458233890215
3,0.41,0.594272076372315
3,0.42,0.6189339697692919
3,0.43,0.6467780429594272
3,0.44,0.6714399363564041
3,0.45,0.6984884645982498
3,0.46,0.7295147175815434
3,0.47,0.7629276054097056
3,0.48,0.7915672235481305
3,0.49,0.8186157517899761
3,0.5,0.8464598249801114
3,0.51,0.8719172633253779
3,0.52,0.888623707239459
3,0.53,0.9061256961018298
3,0.54,0.9260143198090692
3,0.55,0.94351630867144
3,0.56,0.954653937947494
3,0.57,0.9610182975338106
3,0.58,0.9689737470167065
3,0.59,0.9761336515513126
3,0.6,0.9832935560859188
3,0.61,0.984884645982498
3,0.62,0.9856801909307876
3,0.63,0.9888623707239459
3,0.64,0.9912490055688147
3,0.65,0.9936356404136834
3,0.66,0.9936356404136834
3,0.67,0.9952267303102625
3,0.68,0.9960222752585521
3,0.69,0.9968178202068417
3,0.7,0.9968178202068417
3,0.71,0.9968178202068417
3,0.72,0.9968178202068417
3,0.73,0.9976133651551312
3,0.74,0.9976133651551312
3,0.75,0.9976133651551312
3,0.76,0.9976133651551312
3,0.77,0.9984089101034208
3,0.78,0.9992044550517104
3,0.79,0.9992044550517104
3,0.8,0.9992044550517104
3,0.81,0.9992044550517104
3,0.82,0.9992044550517104
3,0.83,0.9992044550517104
3,0.84,0.9992044550517104
3,0.85,0.9992044550517104
4,0.01,0.005568814638027049
4,0.02,0.015910898965791568
4,0.03,0.020684168655529037
4,0.04,0.026252983293556086
4,0.05,0.03739061256961018
4,0.06,0.05250596658711217
4,0.07,0.06284805091487669
4,0.08,0.07239459029435164
4,0.09,0.07796340493237867
4,0.1,0.08989657915672236
4,0.11,0.10023866348448687
4,0.12,0.10660302307080351
4,0.13,0.12012728719172633
4,0.14,0.1328560063643596
4,0.15,0.14399363564041368
4,0.16,0.15035799522673032
4,0.17,0.162291169451074
4,0.18,0.17740652346857597
4,0.19,0.18456642800318218
4,0.2,0.20047732696897375
4,0.21,0.2171837708830549
4,0.22,0.2243436754176611
4,0.23,0.2354813046937152
4,0.24,0.2394590294351631
4,0.25,0.25934765314240255
4,0.26,0.2728719172633254
4,0.27,0.2911694510739857
4,0.28,0.3031026252983294
4,0.29,0.315035799522673
4,0.3,0.3420843277645187
4,0.31,0.3635640413683373
4,0.32,0.3786793953858393
4,0.33,0.3937947494033413
4,0.34,0.4200477326968974
4,0.35,0.4383452665075577
4,0.36,0.4606205250596659
4,0.37,0.4884645982498011
4,0.38,0.5091487669053302
4,0.39,0.5330151153540175
4,0.4,0.5632458233890215
4,0.41,0.594272076372315
4,0.42,0.6189339697692919
4,0.43,0.6467780429594272
4,0.44,0.6714399363564041
4,0.45,0.6984884645982498
4,0.46,0.7295147175815434
4,0.47,0.7629276054097056
4,0.48,0.7915672235481305
4,0.49,0.8186157517899761
4,0.5,0.8464598249801114
4,0.51,0.8719172633253779
4,0.52,0.888623707239459
4,0.53,0.9061256961018298
4,0.54,0.9260143198090692
4,0.55,0.94351630867144
4,0.56,0.954653937947494
4,0.57,0.9610182975338106
4,0.58,0.9689737470167065
4,0.59,0.9761336515513126
4,0.6,0.9832935560859188
4,0.61,0.984884645982498
4,0.62,0.9856801909307876
4,0.63,0.9888623707239459
4,0.64,0.9912490055688147
4,0.65,0.9936356404136834
4,0.66,0.9936356404136834
4,0.67,0.9952267303102625
4,0.68,0.9960222752585521
4,0.69,0.9968178202068417
4,0.7,0.9968178202068417
4,0.71,0.9968178202068417
4,0.72,0.9968178202068417
4,0.73,0.9976133651551312
4,0.74,0.9976133651551312
4,0.75,0.9976133651551312
4,0.76,0.9976133651551312
4,0.77,0.9984089101034208
4,0.78,0.9992044550517104
4,0.79,0.9992044550517104
4,0.8,0.9992044550517104
4,0.81,0.9992044550517104
4,0.82,0.9992044550517104
4,0.83,0.9992044550517104
4,0.84,0.9992044550517104
4,0.85,0.9992044550517104
5,0.01,0.005568814638027049
5,0.02,0.015910898965791568
5,0.03,0.020684168655529037
5,0.04,0.026252983293556086
5,0.05,0.03739061256961018
5,0.06,0.05250596658711217
5,0.07,0.06284805091487669
5,0.08,0.07239459029435164
5,0.09,0.07796340493237867
5,0.1,0.08989657915672236
5,0.11,0.10023866348448687
5,0.12,0.10660302307080351
5,0.13,0.12012728719172633
5,0.14,0.1328560063643596
5,0.15,0.14399363564041368
5,0.16,0.15035799522673032
5,0.17,0.162291169451074
5,0.18,0.17740652346857597
5,0.19,0.18456642800318218
5,0.2,0.20047732696897375
5,0.21,0.2171837708830549
5,0.22,0.2243436754176611
5,0.23,0.2354813046937152
5,0.24,0.2394590294351631
5,0.25,0.25934765314240255
5,0.26,0.2728719172633254
5,0.27,0.2911694510739857
5,0.28,0.3031026252983294
5,0.29,0.315035799522673
5,0.3,0.3420843277645187
5,0.31,0.3635640413683373
5,0.32,0.3786793953858393
5,0.33,0.3937947494033413
5,0.34,0.4200477326968974
5,0.35,0.4383452665075577
5,0.36,0.4606205250596659
5,0.37,0.4884645982498011
5,0.38,0.5091487669053302
5,0.39,0.5330151153540175
5,0.4,0.5632458233890215
5,0.41,0.594272076372315
5,0.42,0.6189339697692919
5,0.43,0.6467780429594272
5,0.44,0.6714399363564041
5,0.45,0.6984884645982498
5,0.46,0.7295147175815434
5,0.47,0.7629276054097056
5,0.48,0.7915672235481305
5,0.49,0.8186157517899761
5,0.5,0.8464598249801114
5,0.51,0.8719172633253779
5,0.52,0.888623707239459
5,0.53,0.9061256961018298
5,0.54,0.9260143198090692
5,0.55,0.94351630867144
5,0.56,0.954653937947494
5,0.57,0.9610182975338106
5,0.58,0.9689737470167065
5,0.59,0.9761336515513126
5,0.6,0.9832935560859188
5,0.61,0.984884645982498
5,0.62,0.9856801909307876
5,0.63,0.9888623707239459
5,0.64,0.9912490055688147
5,0.65,0.9936356404136834
5,0.66,0.9936356404136834
5,0.67,0.9952267303102625
5,0.68,0.9960222752585521
5,0.69,0.9968178202068417
5,0.7,0.9968178202068417
5,0.71,0.9968178202068417
5,0.72,0.9968178202068417
5,0.73,0.9976133651551312
5,0.74,0.9976133651551312
5,0.75,0.9976133651551312
5,0.76,0.9976133651551312
5,0.77,0.9984089101034208
5,0.78,0.9992044550517104
5,0.79,0.9992044550517104
5,0.8,0.9992044550517104
5,0.81,0.9992044550517104
5,0.82,0.9992044550517104
5,0.83,0.9992044550517104
5,0.84,0.9992044550517104
5,0.85,0.9992044550517104
6,0.01,0.005568814638027049
6,0.02,0.015910898965791568
6,0.03,0.020684168655529037
6,0.04,0.026252983293556086
6,0.05,0.03739061256961018
6,0.06,0.05250596658711217
6,0.07,0.06284805091487669
6,0.08,0.07239459029435164
6,0.09,0.07796340493237867
6,0.1,0.08989657915672236
6,0.11,0.10023866348448687
6,0.12,0.10660302307080351
6,0.13,0.12012728719172633
6,0.14,0.1328560063643596
6,0.15,0.14399363564041368
6,0.16,0.15035799522673032
6,0.17,0.162291169451074
6,0.18,0.17740652346857597
6,0.19,0.18456642800318218
6,0.2,0.20047732696897375
6,0.21,0.2171837708830549
6,0.22,0.2243436754176611
6,0.23,0.2354813046937152
6,0.24,0.2394590294351631
6,0.25,0.25934765314240255
6,0.26,0.2728719172633254
6,0.27,0.2911694510739857
6,0.28,0.3031026252983294
6,0.29,0.315035799522673
6,0.3,0.3420843277645187
6,0.31,0.3635640413683373
6,0.32,0.3786793953858393
6,0.33,0.3937947494033413
6,0.34,0.4200477326968974
6,0.35,0.4383452665075577
6,0.36,0.4606205250596659
6,0.37,0.4884645982498011
6,0.38,0.5091487669053302
6,0.39,0.5330151153540175
6,0.4,0.5632458233890215
6,0.41,0.594272076372315
6,0.42,0.6189339697692919
6,0.43,0.6467780429594272
6,0.44,0.6714399363564041
6,0.45,0.6984884645982498
6,0.46,0.7295147175815434
6,0.47,0.7629276054097056
6,0.48,0.7915672235481305
6,0.49,0.8186157517899761
6,0.5,0.8464598249801114
6,0.51,0.8719172633253779
6,0.52,0.888623707239459
6,0.53,0.9061256961018298
6,0.54,0.9260143198090692
6,0.55,0.94351630867144
6,0.56,0.954653937947494
6,0.57,0.9610182975338106
6,0.58,0.9689737470167065
6,0.59,0.9761336515513126
6,0.6,0.9832935560859188
6,0.61,0.984884645982498
6,0.62,0.9856801909307876
6,0.63,0.9888623707239459
6,0.64,0.9912490055688147
6,0.65,0.9936356404136834
6,0.66,0.9936356404136834
6,0.67,0.9952267303102625
6,0.68,0.9960222752585521
6,0.69,0.9968178202068417
6,0.7,0.9968178202068417
6,0.71,0.9968178202068417
6,0.72,0.9968178202068417
6,0.73,0.9976133651551312
6,0.74,0.9976133651551312
6,0.75,0.9976133651551312
6,0.76,0.9976133651551312
6,0.77,0.9984089101034208
6,0.78,0.9992044550517104
6,0.79,0.9992044550517104
6,0.8,0.9992044550517104
6,0.81,0.9992044550517104
6,0.82,0.9992044550517104
6,0.83,0.9992044550517104
6,0.84,0.9992044550517104
6,0.85,0.9992044550517104
7,0.01,0.005568814638027049
7,0.02,0.015910898965791568
7,0.03,0.020684168655529037
7,0.04,0.026252983293556086
7,0.05,0.03739061256961018
7,0.06,0.05250596658711217
7,0.07,0.06284805091487669
7,0.08,0.07239459029435164
7,0.09,0.07796340493237867
7,0.1,0.08989657915672236
7,0.11,0.10023866348448687
7,0.12,0.10660302307080351
7,0.13,0.12012728719172633
7,0.14,0.1328560063643596
7,0.15,0.14399363564041368
7,0.16,0.15035799522673032
7,0.17,0.162291169451074
7,0.18,0.17740652346857597
7,0.19,0.18456642800318218
7,0.2,0.20047732696897375
7,0.21,0.2171837708830549
7,0.22,0.2243436754176611
7,0.23,0.2354813046937152
7,0.24,0.2394590294351631
7,0.25,0.25934765314240255
7,0.26,0.2728719172633254
7,0.27,0.2911694510739857
7,0.28,0.3031026252983294
7,0.29,0.315035799522673
7,0.3,0.3420843277645187
7,0.31,0.3635640413683373
7,0.32,0.3786793953858393
7,0.33,0.3937947494033413
7,0.34,0.4200477326968974
7,0.35,0.4383452665075577
7,0.36,0.4606205250596659
7,0.37,0.4884645982498011
7,0.38,0.5091487669053302
7,0.39,0.5330151153540175
7,0.4,0.5632458233890215
7,0.41,0.594272076372315
7,0.42,0.6189339697692919
7,0.43,0.6467780429594272
7,0.44,0.6714399363564041
7,0.45,0.6984884645982498
7,0.46,0.7295147175815434
7,0.47,0.7629276054097056
7,0.48,0.7915672235481305
7,0.49,0.8186157517899761
7,0.5,0.8464598249801114
7,0.51,0.8719172633253779
7,0.52,0.888623707239459
7,0.53,0.9061256961018298
7,0.54,0.9260143198090692
7,0.55,0.94351630867144
7,0.56,0.954653937947494
7,0.57,0.9610182975338106
7,0.58,0.9689737470167065
7,0.59,0.9761336515513126
7,0.6,0.9832935560859188
7,0.61,0.984884645982498
7,0.62,0.9856801909307876
7,0.63,0.9888623707239459
7,0.64,0.9912490055688147
7,0.65,0.9936356404136834
7,0.66,0.9936356404136834
7,0.67,0.9952267303102625
7,0.68,0.9960222752585521
7,0.69,0.9968178202068417
7,0.7,0.9968178202068417
7,0.71,0.9968178202068417
7,0.72,0.9968178202068417
7,0.73,0.9976133651551312
7,0.74,0.9976133651551312
7,0.75,0.9976133651551312
7,0.76,0.9976133651551312
