feature,importance_q70,importance_q80,importance_q90,importance_mean
realized_skew_20,0.10024483345239882,0.04963162157552175,0.030460707980137586,0.06011238766935272
relative_volume_3_rolling_z_24,0.04085140584137305,0.07091334139165906,0.06618609220549786,0.05931694647950999
prev_bar_taker_buy_ratio_zscore_20,0.044813106243383756,0.043643283035205045,0.08687650923334539,0.05844429950397806
rv_3_mean_gap_24,0.07435551864882586,0.05055244462864105,0.04956305289540507,0.058157005390957334
efficiency_3_delta_3,0.11981839600162482,0.04474451443280413,0.005342539832811847,0.056635150089080266
low_volume_flag_share_20_rolling_z_24,0.035528718200661884,0.12402969894177635,0.007350774550477514,0.05563639723097191
range_pos_3_rolling_z_24,0.054341629862672,0.032903472298994145,0.07588967175847647,0.05437825797338087
rv_10_lag6,0.06718438909233207,0.046012752351999114,0.04752604580479301,0.05357439574970807
context_relative_volume_product__clv_1__relative_volume_20,0.020070651152224006,0.022462147913835516,0.11800938259610655,0.05351406055405536
abs_ret_mean_20,0.04083347784211244,0.040598582816620106,0.07863232900031078,0.05335479655301444
rv_3_rolling_z_12,0.014196311664206275,0.048457838020737075,0.0942348609618056,0.05229633688224964
rv_30,0.020567024801041434,0.08364414077303133,0.051769444814058714,0.05199353679604382
context_relative_volume_product__clv_1__relative_volume_5,0.03490945601701587,0.07470387299772684,0.044947021531633484,0.05152011684879207
relative_volume_3_delta_3,0.05612521842557321,0.03262245665463811,0.0657441496020746,0.05149727489409531
relative_volume_5_lag3,0.06678363157564834,0.07244100745276659,0.012640922704000749,0.050621853910805224
rv_30_rolling_z_12,0.034300159798830776,0.07650767988021441,0.04033047548763143,0.0503794383888922
ret_term_ratio__ret_1__ret_15,0.027879155872917987,0.012616155002321078,0.11039864527917595,0.05029798538480501
prev_bar_trade_count_lag12,0.04691566583949296,0.012704047774023636,0.09027182916894179,0.04996384759415279
rv_5_lag12,0.03533382649231348,0.009980387512878278,0.10414870430660499,0.049820972770598916
context_ret_product__max_up_ret_5__ret_1,0.02779154548565151,0.05122040118471987,0.07000844931289951,0.04967346532775696
rv_10_rolling_z_12,0.02981601339087437,0.07056401357663115,0.048199473956217195,0.04952650030790758
low_volume_flag_share_5_mean_gap_24,0.055026464515420065,0.06744996605313278,0.025289048917173335,0.049255159828575396
volume_share_term_spread__volume_share_5__volume_share_10,0.09235644076504151,0.054584307697001455,0.0,0.04898024948734766
price_location_product__range_pos_5__close_z_5,0.006914942174518217,0.10928086463901074,0.029613170098972172,0.048602992304167036
close_z_3_mean_gap_6,0.00701438201498591,0.13699414930414566,0.0,0.04800284377304386
vwap_dist_term_ratio__vwap_dist_3__vwap_dist_10,0.008565568682564592,0.05700527230714206,0.0783724043604223,0.04798108178337632
htf_rv_15m_delta_3,0.08388565604305162,0.04051046176746439,0.01953740249194032,0.047977840100818785
rv_3_rolling_z_24,0.08724834665924515,0.03551321784369534,0.020507508495999322,0.047756357666313275
ret_volume_z_product__ret_1__volume_z_10,0.008586562606617727,0.004019439587922325,0.1306525074547349,0.047752836549758315
ret_term_ratio__ret_3__ret_5,0.053099627604649445,0.0644804151350383,0.02540323050507158,0.04766109108158645
vwap_dist_5,0.07483744676117715,0.02282307807129761,0.044812164258280024,0.047490896363584924
ret_1_delta_1,0.02677576530949987,0.062948446978505,0.051708571465847473,0.04714426125128412
dollar_vol_mean_5,0.02394275770043625,0.035877569539542804,0.08125486821449053,0.04702506515148986
context_ret_product__down_ratio_5__ret_1,0.051230782698717184,0.08734631635201974,0.0,0.046192366350245644
