t_up,t_down,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
0.555,0.42,8220.0,0.07068126520681266,0.5555555555555556,0.627906976744186,0.5917312661498708,0.5232360097323601,0.5662650602409639,0.8519793459552496,0.14802065404475043,0.555,0.42,581.0,495.0,86.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.425,8220.0,0.07506082725060827,0.5555555555555556,0.639344262295082,0.5974499089253188,0.5232360097323601,0.5721231766612642,0.8022690437601296,0.19773095623987033,0.555,0.425,617.0,495.0,122.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.43,8220.0,0.08333333333333333,0.5555555555555556,0.6,0.5777777777777777,0.5232360097323601,0.5678832116788322,0.7226277372262774,0.2773722627737226,0.555,0.43,685.0,495.0,190.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.435,8220.0,0.0948905109489051,0.5555555555555556,0.6385964912280702,0.5970760233918129,0.5232360097323601,0.5858974358974359,0.6346153846153846,0.36538461538461536,0.555,0.435,780.0,495.0,285.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.44,8220.0,0.11119221411192214,0.5555555555555556,0.60381861575179,0.5796870856536728,0.5232360097323601,0.5776805251641138,0.5415754923413567,0.45842450765864334,0.555,0.44,914.0,495.0,419.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.445,8220.0,0.1302919708029197,0.5555555555555556,0.5920138888888888,0.5737847222222222,0.5232360097323601,0.5751633986928104,0.46218487394957986,0.5378151260504201,0.555,0.445,1071.0,495.0,576.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.45,8220.0,0.15097323600973236,0.5555555555555556,0.5817694369973191,0.5686624962764373,0.5232360097323601,0.5713134568896051,0.3988718775181305,0.6011281224818694,0.555,0.45,1241.0,495.0,746.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.455,8220.0,0.17737226277372262,0.5555555555555556,0.5856697819314641,0.5706126687435098,0.5232360097323601,0.5754458161865569,0.3395061728395062,0.6604938271604939,0.555,0.455,1458.0,495.0,963.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.46,8220.0,0.20596107055961071,0.5555555555555556,0.5701168614357263,0.5628362084956409,0.5232360097323601,0.5658594211458948,0.2923803898405198,0.7076196101594802,0.555,0.46,1693.0,495.0,1198.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
0.555,0.465,8220.0,0.23819951338199513,0.5555555555555556,0.5645933014354066,0.5600744284954811,0.5232360097323601,0.5623084780388151,0.25280898876404495,0.7471910112359551,0.555,0.465,1958.0,495.0,1463.0,0.5345679153401742,0.2490640395809133,0.6912720397432376
